system,signal_dt,entry_dt,exit_dt,year,month,pnl_pt,pnl_yen,result
①,2023-12-21 21:50:00,2023-12-21 21:55:00,2023-12-21 23:30:00,2023,12,-62.2,-622.0,SL
①,2023-12-25 18:40:00,2023-12-25 18:45:00,2023-12-25 22:50:00,2023,12,137.8,1378.0,TIME
①,2023-12-25 18:45:00,2023-12-25 18:50:00,2023-12-25 22:55:00,2023,12,152.8,1528.0,TIME
①,2023-12-25 19:20:00,2023-12-25 19:25:00,2023-12-25 23:30:00,2023,12,137.8,1378.0,TIME
①,2023-12-25 19:50:00,2023-12-25 19:55:00,2023-12-26 00:00:00,2023,12,97.8,978.0,TIME
①,2023-12-25 19:55:00,2023-12-25 20:00:00,2023-12-26 00:05:00,2023,12,107.8,1078.0,TIME
①,2023-12-25 20:00:00,2023-12-25 20:05:00,2023-12-26 00:10:00,2023,12,107.8,1078.0,TIME
①,2023-12-25 20:05:00,2023-12-25 20:10:00,2023-12-26 00:15:00,2023,12,102.8,1028.0,TIME
①,2023-12-25 20:10:00,2023-12-25 20:15:00,2023-12-26 00:20:00,2023,12,87.8,878.0,TIME
①,2023-12-25 20:15:00,2023-12-25 20:20:00,2023-12-26 00:25:00,2023,12,92.8,928.0,TIME
①,2023-12-25 20:20:00,2023-12-25 20:25:00,2023-12-26 00:30:00,2023,12,92.8,928.0,TIME
①,2023-12-25 20:25:00,2023-12-25 20:30:00,2023-12-26 00:35:00,2023,12,97.8,978.0,TIME
①,2023-12-25 20:30:00,2023-12-25 20:35:00,2023-12-26 00:40:00,2023,12,82.8,828.0,TIME
①,2023-12-25 20:35:00,2023-12-25 20:40:00,2023-12-26 00:45:00,2023,12,102.8,1028.0,TIME
①,2023-12-25 21:05:00,2023-12-25 21:10:00,2023-12-26 01:15:00,2023,12,92.8,928.0,TIME
①,2023-12-25 21:10:00,2023-12-25 21:15:00,2023-12-26 01:20:00,2023,12,87.8,878.0,TIME
①,2023-12-25 21:15:00,2023-12-25 21:20:00,2023-12-26 01:25:00,2023,12,87.8,878.0,TIME
①,2023-12-25 21:20:00,2023-12-25 21:25:00,2023-12-26 01:30:00,2023,12,87.8,878.0,TIME
①,2023-12-25 21:25:00,2023-12-25 21:30:00,2023-12-26 01:35:00,2023,12,92.8,928.0,TIME
①,2023-12-25 21:30:00,2023-12-25 21:35:00,2023-12-26 01:40:00,2023,12,97.8,978.0,TIME
①,2023-12-25 21:55:00,2023-12-25 22:00:00,2023-12-26 02:05:00,2023,12,57.8,578.0,TIME
①,2023-12-25 22:00:00,2023-12-25 22:05:00,2023-12-26 02:10:00,2023,12,52.8,528.0,TIME
①,2023-12-25 22:05:00,2023-12-25 22:10:00,2023-12-26 02:15:00,2023,12,57.8,578.0,TIME
①,2023-12-25 22:10:00,2023-12-25 22:15:00,2023-12-26 02:20:00,2023,12,52.8,528.0,TIME
①,2023-12-25 22:15:00,2023-12-25 22:20:00,2023-12-26 02:25:00,2023,12,37.8,378.0,TIME
①,2023-12-25 22:20:00,2023-12-25 22:25:00,2023-12-26 02:30:00,2023,12,37.8,378.0,TIME
①,2023-12-25 22:25:00,2023-12-25 22:30:00,2023-12-26 02:35:00,2023,12,57.8,578.0,TIME
①,2023-12-25 22:40:00,2023-12-25 22:45:00,2023-12-26 02:50:00,2023,12,27.8,278.0,TIME
①,2023-12-25 22:45:00,2023-12-25 22:50:00,2023-12-26 02:55:00,2023,12,7.8,78.0,TIME
①,2023-12-25 22:50:00,2023-12-25 22:55:00,2023-12-26 03:00:00,2023,12,-7.2,-72.0,TIME
①,2023-12-25 22:55:00,2023-12-25 23:00:00,2023-12-26 03:05:00,2023,12,-22.2,-222.0,TIME
①,2023-12-25 23:00:00,2023-12-25 23:05:00,2023-12-26 03:10:00,2023,12,-37.2,-372.0,TIME
