combo_size,condition,n,hit_rate_pct,avg_up_move,avg_down_move,median_up_move,median_down_move,avg_close_move
3,cat_dist_ma20=far_above & cat_bb_ratio=bb_squeeze & flag_break_prev_high=no_break_prev_high,142,78.87,107.85,-105.77,70.0,-87.5,6.83
3,cat_bb_ratio=bb_squeeze & flag_above_prev_day_close=above_prev_day_close & time_bucket_15m=15:45-16:00,71,78.87,-317.68,-423.17,-300.0,-385.0,-370.14
3,cat_rsi=rsi_midhigh & time_bucket_15m=08:45-09:00 & weekday=Tuesday,52,78.85,84.23,-79.52,45.0,-80.0,-0.77
3,cat_dist_ma20=far_below & flag_hold_prev_high=hold_prev_high & time_bucket_15m=10:15-10:30,52,78.85,86.92,-133.85,55.0,-122.5,-30.48
3,cat_body_ratio=body_small & flag_hold_prev_low=break_prev_low & time_bucket_15m=08:45-09:00,274,78.83,88.81,-106.82,65.0,-85.0,-14.71
3,cat_dist_ma20=far_above & flag_pullback_vol_weak=pullback_vol_not_weak & time_bucket_15m=23:00-23:15,33,78.79,176.36,-135.91,60.0,-110.0,38.79
3,flag_break_prev_low=no_break_prev_low & flag_pullback_vol_weak=pullback_vol_weak & time_bucket_15m=08:45-09:00,33,78.79,159.39,-140.45,110.0,-105.0,10.15
3,cat_dist_ma20=far_below & cat_bb_ratio=bb_mid & flag_break_prev_low=break_prev_low,99,78.79,123.48,-135.45,80.0,-85.0,6.41
3,cat_atr_ratio=atr_mid & cat_prev_day_change=prev_big_up & time_bucket_15m=09:00-09:15,66,78.79,68.94,-85.68,50.0,-72.5,-17.2
3,cat_atr_ratio=atr_low & flag_above_prev_day_close=below_prev_day_close & time_bucket_15m=09:00-09:15,33,78.79,78.64,-100.91,55.0,-60.0,-26.36
2,cat_dist_ma20=far_below & time_bucket_15m=13:30-13:45,33,78.79,102.58,-136.52,80.0,-105.0,-39.24
3,cat_gap=gap_down & cat_prev_day_change=prev_big_down & time_bucket_15m=09:00-09:15,108,78.7,140.46,-137.82,75.0,-92.5,16.44
3,cat_dist_ma20=far_below & cat_rsi=rsi_low & time_bucket_15m=09:45-10:00,108,78.7,96.34,-107.31,75.0,-82.5,-8.47
3,cat_trend=trend_mixed & flag_pullback_2bar=pullback_2bar & time_bucket_15m=08:45-09:00,131,78.63,92.98,-86.18,75.0,-70.0,4.16
3,cat_dist_ma20=far_above & cat_rsi=rsi_high & time_bucket_15m=08:45-09:00,117,78.63,136.15,-147.22,90.0,-100.0,-4.49
3,cat_rsi=rsi_high & flag_hold_prev_high=hold_prev_high & time_bucket_15m=08:45-09:00,243,78.6,88.09,-106.44,60.0,-90.0,-9.81
3,cat_gap=gap_down & time_bucket_15m=08:45-09:00 & weekday=Friday,168,78.57,107.02,-113.45,77.5,-90.0,9.32
2,cat_dist_ma20=far_below & time_bucket_15m=23:00-23:15,56,78.57,91.7,-112.41,85.0,-95.0,-15.98
3,cat_dist_ma20=far_below & cat_rsi=rsi_low & time_bucket_15m=23:00-23:15,56,78.57,91.7,-112.41,85.0,-95.0,-15.98
3,cat_atr_ratio=atr_mid & cat_prev_day_change=prev_down & time_bucket_15m=09:00-09:15,84,78.57,68.45,-92.56,57.5,-77.5,-17.74
3,cat_trend=trend_down & cat_prev_day_change=prev_big_down & time_bucket_15m=08:45-09:00,126,78.57,115.71,-137.98,85.0,-105.0,-28.02
3,cat_rsi=rsi_high & time_bucket_15m=06:00-06:15 & weekday=Wednesday,42,78.57,18.57,-79.76,7.5,-85.0,-30.83
3,cat_rsi=rsi_high & flag_pullback_2bar=pullback_2bar & time_bucket_15m=08:45-09:00,246,78.46,84.53,-115.57,60.0,-100.0,-24.13
3,cat_vol_ratio=vol_spike & flag_break_prev_high=break_prev_high & time_bucket_15m=23:45-24:00,51,78.43,210.59,-215.69,60.0,-180.0,24.12
3,cat_dist_ma20=far_below & flag_break_prev_high=no_break_prev_high & time_bucket_15m=09:45-10:00,102,78.43,97.6,-107.84,75.0,-82.5,-8.92
3,cat_dist_ma20=far_above & cat_bb_ratio=bb_expand & time_bucket_15m=10:30-10:45,37,78.38,110.81,-85.0,55.0,-75.0,11.76
3,cat_dist_ma20=far_below & flag_hold_prev_low=hold_prev_low & time_bucket_15m=09:00-09:15,37,78.38,147.57,-146.62,85.0,-95.0,6.08
3,cat_dist_ma20=far_below & flag_pullback_vol_weak=pullback_vol_not_weak & time_bucket_15m=09:45-10:00,83,78.31,112.47,-108.98,90.0,-80.0,-0.24
3,cat_rsi=rsi_low & cat_prev_day_change=prev_big_up & time_bucket_15m=09:00-09:15,129,78.29,69.73,-85.23,50.0,-70.0,-11.82
3,cat_dist_ma20=far_below & flag_pullback_vol_weak=pullback_vol_not_weak & time_bucket_15m=23:00-23:15,46,78.26,93.7,-108.04,85.0,-95.0,-9.02
3,flag_hold_prev_low=break_prev_low & time_bucket_15m=08:45-09:00 & weekday=Monday,161,78.26,96.61,-119.94,60.0,-90.0,-20.62
3,cat_trend=trend_down & cat_dist_ma20=far_below & time_bucket_15m=23:00-23:15,55,78.18,91.82,-111.45,85.0,-90.0,-17.55
3,cat_dist_ma20=far_below & flag_pullback_2bar=pullback_2bar & time_bucket_15m=23:00-23:15,55,78.18,90.0,-113.64,85.0,-100.0,-19.09
