feature,value,n,strong_up_rate_pct,strong_down_rate_pct,edge_up_minus_down
time_bucket_15m,19:15-19:30,2073,9.02,10.66,-1.64
time_bucket_15m,17:00-17:15,2073,16.69,18.38,-1.69
time_bucket_15m,01:00-01:15,2073,15.15,16.84,-1.69
cat_gap,gap_flat,36929,17.89,19.61,-1.71
time_bucket_15m,19:00-19:15,2073,9.07,10.81,-1.74
cat_prev_day_change,prev_big_down,24109,30.08,31.83,-1.75
cat_bb_ratio,bb_squeeze,74359,18.05,19.88,-1.83
time_bucket_15m,18:45-19:00,2073,8.06,10.03,-1.98
time_bucket_15m,20:00-20:15,2073,7.91,9.89,-1.98
time_bucket_15m,22:45-23:00,2073,27.26,29.28,-2.03
time_bucket_15m,03:45-04:00,2073,12.35,14.38,-2.03
time_bucket_15m,03:30-03:45,2073,11.43,13.46,-2.03
time_bucket_15m,17:45-18:00,2073,11.87,13.94,-2.07
cat_dist_ma20,near_above,80305,19.74,21.86,-2.12
time_bucket_15m,02:30-02:45,2073,13.94,16.06,-2.12
time_bucket_15m,12:00-12:15,2070,21.01,23.14,-2.13
flag_break_prev_high,break_prev_high,36968,21.85,24.04,-2.19
cat_rsi,rsi_midhigh,32218,20.67,22.86,-2.19
cat_atr_ratio,atr_low,31362,17.02,19.27,-2.25
time_bucket_15m,17:30-17:45,2073,13.22,15.48,-2.27
time_bucket_15m,10:45-11:00,2070,20.1,22.51,-2.42
time_bucket_15m,12:15-12:30,2070,21.93,24.4,-2.46
time_bucket_15m,20:15-20:30,2073,8.49,11.0,-2.51
weekday,Friday,33638,22.47,24.99,-2.52
time_bucket_15m,10:30-10:45,2070,24.93,27.49,-2.56
cat_trend,trend_up,72339,20.39,22.98,-2.59
cat_rsi,rsi_high,52306,20.39,23.05,-2.66
time_bucket_15m,13:00-13:15,2070,17.29,20.0,-2.71
time_bucket_15m,17:15-17:30,2073,14.52,17.27,-2.75
time_bucket_15m,08:45-09:00,2070,47.05,49.86,-2.8
flag_above_prev_day_close,above_prev_day_close,87878,19.52,22.53,-3.01
cat_prev_day_change,prev_big_up,32912,22.78,25.89,-3.11
cat_gap,gap_down,62678,24.35,27.52,-3.17
time_bucket_15m,18:30-18:45,2073,7.77,11.1,-3.33
time_bucket_15m,22:30-22:45,2073,25.62,29.57,-3.96
time_bucket_15m,18:15-18:30,2073,8.83,12.88,-4.05
time_bucket_15m,14:30-14:45,2070,34.15,38.31,-4.15
time_bucket_15m,02:00-02:15,2073,13.27,17.61,-4.34
time_bucket_15m,02:15-02:30,2073,13.02,17.37,-4.34
time_bucket_15m,15:30-15:45,1083,44.69,49.22,-4.52
time_bucket_15m,18:00-18:15,2073,8.92,13.65,-4.73
time_bucket_15m,01:45-02:00,2073,12.83,17.7,-4.87
time_bucket_15m,01:15-01:30,2073,12.93,18.09,-5.16
time_bucket_15m,15:45-16:00,361,43.77,49.03,-5.26
time_bucket_15m,15:15-15:30,1412,48.23,53.54,-5.31
cat_dist_ma20,far_above,6597,28.53,34.05,-5.52
time_bucket_15m,01:30-01:45,2073,12.2,17.75,-5.55
time_bucket_15m,14:45-15:00,2070,41.84,48.55,-6.71
time_bucket_15m,15:00-15:15,2070,45.6,53.0,-7.39
