feature,value,n,strong_up_rate_pct,strong_down_rate_pct,edge_up_minus_down
cat_prev_day_change,prev_flat,37026,30.9,31.77,-0.87
time_bucket_15m,20:15-20:30,2073,20.02,20.94,-0.92
time_bucket_15m,17:30-17:45,2073,30.34,31.31,-0.96
time_bucket_15m,04:45-05:00,2073,27.74,28.7,-0.96
time_bucket_15m,19:30-19:45,2073,18.72,19.68,-0.96
time_bucket_15m,18:00-18:15,2073,25.08,26.1,-1.01
cat_prev_day_change,prev_big_up,32912,36.45,37.49,-1.05
cat_trend,trend_up,72339,32.62,33.7,-1.09
flag_pullback_2bar,no_pullback_2bar,54097,31.99,33.18,-1.19
cat_trend,trend_mixed,29151,31.54,32.73,-1.19
time_bucket_15m,17:00-17:15,2073,37.05,38.25,-1.21
time_bucket_15m,04:00-04:15,2073,24.55,25.76,-1.21
time_bucket_15m,19:45-20:00,2073,22.0,23.25,-1.25
cat_rsi,rsi_high,52306,33.02,34.3,-1.28
time_bucket_15m,22:30-22:45,2073,44.52,45.92,-1.4
time_bucket_15m,17:15-17:30,2073,33.53,34.93,-1.4
flag_break_prev_high,break_prev_high,36968,34.82,36.28,-1.46
time_bucket_15m,00:45-01:00,2073,34.78,36.32,-1.54
time_bucket_15m,21:00-21:15,2073,21.71,23.35,-1.64
time_bucket_15m,13:30-13:45,2070,32.56,34.35,-1.79
time_bucket_15m,23:30-23:45,2070,44.54,46.43,-1.88
time_bucket_15m,05:15-05:30,2073,14.76,16.69,-1.93
cat_gap,gap_down,62678,38.0,39.95,-1.95
time_bucket_15m,23:00-23:15,2070,38.79,40.82,-2.03
time_bucket_15m,05:00-05:15,2073,15.53,17.61,-2.07
time_bucket_15m,20:45-21:00,2073,22.09,24.26,-2.17
time_bucket_15m,03:30-03:45,2073,24.07,26.39,-2.32
time_bucket_15m,01:15-01:30,2073,30.34,33.04,-2.7
time_bucket_15m,15:00-15:15,2070,40.68,43.38,-2.71
time_bucket_15m,22:45-23:00,2073,42.98,45.83,-2.85
time_bucket_15m,00:15-00:30,2073,38.4,41.29,-2.89
time_bucket_15m,02:00-02:15,2073,28.03,30.92,-2.89
time_bucket_15m,13:15-13:30,2070,33.86,36.76,-2.9
time_bucket_15m,18:30-18:45,2073,20.94,24.22,-3.28
time_bucket_15m,01:30-01:45,2073,27.4,30.82,-3.42
time_bucket_15m,04:15-04:30,2073,23.4,27.06,-3.67
cat_dist_ma20,far_above,6597,47.26,51.21,-3.94
time_bucket_15m,03:45-04:00,2073,24.31,28.27,-3.96
time_bucket_15m,02:45-03:00,2073,26.19,30.68,-4.49
time_bucket_15m,09:45-10:00,2070,53.91,58.79,-4.88
time_bucket_15m,01:45-02:00,2073,28.7,34.15,-5.45
time_bucket_15m,15:45-16:00,361,48.75,54.29,-5.54
time_bucket_15m,10:45-11:00,2070,44.11,50.0,-5.89
