feature,value,n,hit_rate_pct,avg_up_move,avg_down_move,median_up_move,median_down_move,avg_close_move
cat_dist_ma20,near_below,73115,22.23,62.08,-61.56,35.0,-35.0,2.77
flag_break_prev_high,break_prev_high,36968,22.17,61.36,-66.44,35.0,-35.0,-1.91
time_bucket_15m,14:00-14:15,2070,22.13,56.19,-53.46,40.0,-35.0,3.63
flag_hold_prev_high,hold_prev_high,97155,22.01,62.12,-62.81,35.0,-35.0,1.61
flag_bull,bull,74733,21.99,61.67,-64.04,35.0,-35.0,-0.27
weekday,Wednesday,33638,21.89,62.21,-61.67,35.0,-35.0,3.0
cat_bb_ratio,bb_mid,21015,21.87,63.8,-64.26,35.0,-35.0,1.55
cat_gap,gap_up,67282,21.87,59.48,-62.32,35.0,-35.0,0.03
cat_body_ratio,body_large,55274,21.81,62.39,-63.22,35.0,-35.0,1.54
time_bucket_15m,00:30-00:45,2073,21.47,54.03,-57.45,40.0,-40.0,0.01
cat_prev_day_change,prev_down,38478,21.39,59.18,-60.69,35.0,-35.0,0.75
flag_break_prev_low,no_break_prev_low,132424,21.26,60.3,-62.78,35.0,-35.0,-0.02
cat_rsi,rsi_midlow,34717,21.25,60.98,-59.71,35.0,-35.0,3.27
cat_body_ratio,body_mid,58697,21.25,59.88,-62.22,35.0,-35.0,0.38
time_bucket_15m,12:00-12:15,2070,21.16,54.0,-56.2,40.0,-40.0,-1.66
time_bucket_15m,13:45-14:00,2070,20.92,53.18,-51.77,40.0,-35.0,4.7
cat_rsi,rsi_high,52306,20.83,57.84,-64.9,35.0,-35.0,-4.06
cat_rsi,rsi_midhigh,32218,20.77,60.53,-61.51,35.0,-35.0,0.78
weekday,Tuesday,33644,20.77,58.49,-61.7,35.0,-35.0,-0.62
cat_trend,trend_up,72339,20.68,58.31,-64.11,35.0,-35.0,-3.09
flag_hold_prev_low,hold_prev_low,99382,20.6,58.94,-61.71,35.0,-35.0,-0.37
flag_pullback_2bar,no_pullback_2bar,54097,20.4,57.53,-61.78,35.0,-35.0,-1.74
time_bucket_15m,13:30-13:45,2070,20.39,49.41,-52.94,35.0,-35.0,0.97
time_bucket_15m,17:00-17:15,2073,20.12,52.87,-56.29,40.0,-40.0,-0.46
cat_trend,trend_mixed,29151,20.06,57.27,-59.19,35.0,-35.0,0.56
flag_above_prev_day_close,above_prev_day_close,87878,20.02,53.99,-64.59,35.0,-35.0,-6.71
time_bucket_15m,00:45-01:00,2073,19.92,51.14,-54.46,35.0,-35.0,2.47
time_bucket_15m,13:00-13:15,2070,19.81,50.19,-53.91,40.0,-35.0,-2.4
time_bucket_15m,01:00-01:15,2073,19.73,50.91,-50.45,35.0,-30.0,2.79
cat_dist_ma20,near_above,80305,19.6,55.61,-60.07,35.0,-35.0,-2.02
cat_atr_ratio,atr_mid,83008,19.54,57.28,-58.67,35.0,-35.0,0.71
cat_prev_day_change,prev_up,34122,19.47,56.09,-57.09,35.0,-35.0,0.74
cat_prev_day_change,prev_flat,37026,19.36,54.76,-56.98,35.0,-35.0,0.28
flag_pullback_vol_weak,pullback_vol_weak,107852,19.11,54.89,-55.78,35.0,-35.0,1.39
time_bucket_15m,13:15-13:30,2070,18.99,48.29,-52.55,35.0,-40.0,-2.26
cat_atr_ratio,atr_low,31362,18.58,50.54,-53.71,35.0,-35.0,-0.91
time_bucket_15m,16:30-16:45,990,18.18,49.14,-46.64,35.0,-30.0,2.85
cat_bb_ratio,bb_squeeze,74359,18.13,53.07,-55.23,30.0,-30.0,0.24
cat_gap,gap_flat,36929,18.11,52.94,-54.03,30.0,-30.0,1.08
time_bucket_15m,17:15-17:30,2073,17.7,50.67,-51.27,35.0,-35.0,2.04
cat_vol_ratio,vol_low,82025,17.61,51.97,-52.75,30.0,-30.0,1.42
time_bucket_15m,11:15-11:30,2070,17.34,47.75,-49.91,35.0,-35.0,-0.03
time_bucket_15m,21:15-21:30,2073,17.32,51.44,-50.55,30.0,-30.0,3.33
time_bucket_15m,21:00-21:15,2073,16.64,48.59,-50.45,30.0,-30.0,-0.44
time_bucket_15m,17:30-17:45,2073,16.5,47.62,-47.99,30.0,-35.0,2.01
time_bucket_15m,01:45-02:00,2073,16.4,45.61,-52.04,30.0,-35.0,-2.7
time_bucket_15m,02:00-02:15,2073,16.21,46.67,-49.67,30.0,-30.0,1.92
time_bucket_15m,16:45-17:00,990,16.06,46.74,-47.51,35.0,-30.0,1.27
time_bucket_15m,01:15-01:30,2073,15.82,47.04,-51.36,30.0,-35.0,-0.55
time_bucket_15m,01:30-01:45,2073,15.82,45.38,-50.78,30.0,-35.0,-2.97
time_bucket_15m,02:30-02:45,2073,15.63,45.87,-47.13,30.0,-30.0,1.62
time_bucket_15m,04:30-04:45,2073,15.58,46.69,-44.59,35.0,-30.0,1.82
time_bucket_15m,21:30-21:45,2073,15.48,46.44,-43.51,30.0,-30.0,2.71
time_bucket_15m,02:45-03:00,2073,15.24,44.21,-47.58,30.0,-30.0,1.18
time_bucket_15m,17:45-18:00,2073,14.86,45.26,-48.3,30.0,-30.0,-0.69
time_bucket_15m,02:15-02:30,2073,14.62,46.51,-47.0,30.0,-30.0,3.81
time_bucket_15m,03:00-03:15,2073,14.57,44.9,-42.95,30.0,-25.0,5.02
time_bucket_15m,03:15-03:30,2073,14.18,43.94,-40.58,30.0,-25.0,3.63
time_bucket_15m,04:15-04:30,2073,14.18,44.48,-44.91,30.0,-30.0,2.53
time_bucket_15m,03:45-04:00,2073,13.56,41.29,-43.69,25.0,-30.0,2.17
time_bucket_15m,11:30-11:45,2070,13.24,42.35,-42.23,30.0,-30.0,1.4
time_bucket_15m,11:45-12:00,2070,13.14,40.2,-39.17,30.0,-30.0,1.05
time_bucket_15m,04:00-04:15,2073,12.54,42.29,-42.19,25.0,-25.0,2.32
time_bucket_15m,04:45-05:00,2073,12.4,40.12,-40.77,25.0,-25.0,-0.97
time_bucket_15m,03:30-03:45,2073,12.35,40.72,-43.81,25.0,-30.0,-0.1
time_bucket_15m,18:00-18:15,2073,12.3,42.02,-45.95,30.0,-30.0,-2.93
time_bucket_15m,21:45-22:00,2073,11.87,41.44,-42.52,30.0,-30.0,1.4
time_bucket_15m,20:45-21:00,2073,10.95,38.81,-43.8,25.0,-25.0,-2.27
time_bucket_15m,19:45-20:00,2073,10.61,41.98,-37.1,25.0,-25.0,4.61
time_bucket_15m,19:30-19:45,2073,10.47,40.38,-37.51,25.0,-25.0,5.1
time_bucket_15m,18:45-19:00,2073,10.37,38.74,-38.95,25.0,-25.0,1.12
time_bucket_15m,18:30-18:45,2073,9.99,39.01,-42.52,30.0,-25.0,-0.66
time_bucket_15m,20:30-20:45,2073,9.99,37.58,-41.35,25.0,-25.0,-1.55
time_bucket_15m,18:15-18:30,2073,9.79,38.81,-43.76,30.0,-30.0,-3.43
time_bucket_15m,19:15-19:30,2073,9.45,35.84,-37.27,25.0,-25.0,1.07
time_bucket_15m,19:00-19:15,2073,9.12,36.8,-38.05,25.0,-25.0,0.38
time_bucket_15m,20:00-20:15,2073,8.68,36.8,-38.27,25.0,-25.0,-1.46
time_bucket_15m,20:15-20:30,2073,8.49,34.71,-39.96,25.0,-25.0,-2.59
time_bucket_15m,05:00-05:15,2073,7.81,31.83,-34.01,20.0,-20.0,-0.98
time_bucket_15m,05:15-05:30,2073,7.53,31.25,-33.15,20.0,-20.0,-0.11
