feature,value,n,hit_rate_pct,avg_up_move,avg_down_move,median_up_move,median_down_move,avg_close_move
time_bucket_15m,18:45-19:00,2073,22.53,28.64,-28.34,20.0,-20.0,0.81
time_bucket_15m,20:45-21:00,2073,22.09,28.25,-30.67,20.0,-20.0,-0.93
time_bucket_15m,19:45-20:00,2073,22.0,30.4,-27.42,20.0,-20.0,4.11
time_bucket_15m,21:00-21:15,2073,21.71,26.65,-29.92,20.0,-20.0,-1.34
time_bucket_15m,18:30-18:45,2073,20.94,26.8,-29.72,20.0,-20.0,-1.47
time_bucket_15m,19:00-19:15,2073,20.74,25.87,-26.1,20.0,-15.0,0.31
time_bucket_15m,19:15-19:30,2073,20.55,25.94,-26.99,20.0,-15.0,0.07
time_bucket_15m,20:30-20:45,2073,20.36,25.12,-27.06,20.0,-15.0,-0.62
time_bucket_15m,20:00-20:15,2073,20.02,26.86,-26.54,15.0,-15.0,0.5
time_bucket_15m,20:15-20:30,2073,20.02,25.02,-27.63,15.0,-20.0,-1.96
time_bucket_15m,19:30-19:45,2073,18.72,25.14,-24.93,15.0,-15.0,1.0
time_bucket_15m,05:30-05:45,2073,16.16,22.54,-21.91,15.0,-15.0,0.53
time_bucket_15m,05:00-05:15,2073,15.53,23.29,-23.65,15.0,-15.0,-0.34
time_bucket_15m,05:15-05:30,2073,14.76,21.45,-23.55,15.0,-15.0,-0.64
