feature,value,n,hit_rate_pct,avg_up_move,avg_down_move,median_up_move,median_down_move,avg_close_move
time_bucket_15m,11:15-11:30,2070,37.34,37.61,-38.42,30.0,-25.0,-1.05
time_bucket_15m,14:30-14:45,2070,37.29,39.97,-39.55,30.0,-25.0,-0.02
cat_trend,trend_down,65641,37.18,46.33,-44.05,25.0,-25.0,2.95
flag_above_prev_day_close,below_prev_day_close,79253,37.13,47.38,-42.34,25.0,-25.0,4.59
time_bucket_15m,00:30-00:45,2073,37.05,39.1,-40.58,30.0,-25.0,0.52
time_bucket_15m,13:15-13:30,2070,36.76,35.41,-37.17,25.0,-25.0,-1.16
weekday,Friday,33638,36.43,41.49,-43.18,25.0,-25.0,-0.59
time_bucket_15m,00:45-01:00,2073,36.32,37.05,-40.16,25.0,-25.0,-0.51
flag_break_prev_high,break_prev_high,36968,36.28,40.24,-43.74,25.0,-25.0,-1.66
flag_hold_prev_high,break_prev_high,69976,35.91,40.81,-42.9,25.0,-25.0,-0.57
weekday,Thursday,33638,35.74,41.5,-43.03,25.0,-25.0,0.03
flag_pullback_2bar,pullback_2bar,113034,35.72,42.9,-42.89,25.0,-25.0,1.14
cat_vol_ratio,vol_normal,41976,35.65,41.16,-42.3,25.0,-25.0,0.37
weekday,Monday,32573,35.31,43.53,-43.25,25.0,-25.0,1.19
time_bucket_15m,13:00-13:15,2070,35.27,36.41,-38.56,25.0,-25.0,-1.25
flag_bull,bull,74733,35.24,41.04,-41.9,25.0,-25.0,0.05
time_bucket_15m,17:15-17:30,2073,34.93,36.76,-37.97,25.0,-25.0,0.3
cat_dist_ma20,near_below,73115,34.83,41.53,-40.42,25.0,-25.0,2.05
cat_body_ratio,body_large,55274,34.8,41.46,-42.3,25.0,-25.0,0.26
flag_bull,not_bull,92398,34.62,41.58,-42.59,25.0,-25.0,0.62
flag_break_prev_high,no_break_prev_high,130163,34.51,41.65,-41.86,25.0,-25.0,0.94
weekday,Wednesday,33638,34.39,41.31,-41.04,25.0,-25.0,1.51
time_bucket_15m,13:30-13:45,2070,34.35,33.3,-35.41,25.0,-25.0,-1.1
cat_body_ratio,body_mid,58697,34.32,39.88,-40.66,25.0,-25.0,0.59
cat_rsi,rsi_high,52306,34.3,38.38,-43.06,25.0,-25.0,-2.63
flag_hold_prev_high,hold_prev_high,97155,34.17,41.72,-41.83,25.0,-25.0,1.04
time_bucket_15m,01:45-02:00,2073,34.15,32.34,-35.96,20.0,-25.0,-2.6
flag_break_prev_low,no_break_prev_low,132424,34.0,40.07,-41.54,25.0,-25.0,-0.08
cat_bb_ratio,bb_mid,21015,33.72,41.34,-41.24,25.0,-25.0,1.08
cat_trend,trend_up,72339,33.7,38.31,-42.12,25.0,-25.0,-1.99
time_bucket_15m,14:00-14:15,2070,33.48,38.0,-35.33,25.0,-25.0,2.62
time_bucket_15m,13:45-14:00,2070,33.48,37.36,-37.81,25.0,-25.0,2.07
cat_rsi,rsi_midlow,34717,33.41,40.11,-39.19,25.0,-25.0,1.78
cat_rsi,rsi_midhigh,32218,33.22,39.43,-39.54,25.0,-25.0,0.76
flag_pullback_2bar,no_pullback_2bar,54097,33.18,38.09,-41.01,25.0,-25.0,-1.24
flag_hold_prev_low,hold_prev_low,99382,33.15,39.28,-41.18,25.0,-25.0,-0.5
time_bucket_15m,01:15-01:30,2073,33.04,34.7,-37.42,25.0,-25.0,-0.18
cat_gap,gap_up,67282,32.94,39.32,-41.36,25.0,-25.0,0.05
flag_above_prev_day_close,above_prev_day_close,87878,32.89,35.89,-42.23,25.0,-25.0,-3.43
cat_prev_day_change,prev_down,38478,32.79,39.34,-40.14,25.0,-25.0,0.38
cat_trend,trend_mixed,29151,32.73,37.63,-38.69,25.0,-25.0,0.43
weekday,Tuesday,33644,32.64,38.94,-40.94,25.0,-25.0,-0.26
cat_dist_ma20,near_above,80305,32.01,36.07,-39.07,25.0,-25.0,-1.39
cat_prev_day_change,prev_up,34122,31.83,37.01,-37.56,25.0,-25.0,0.35
cat_prev_day_change,prev_flat,37026,31.77,36.22,-37.55,25.0,-25.0,0.17
cat_atr_ratio,atr_mid,83008,31.71,37.91,-38.77,25.0,-25.0,0.37
flag_pullback_vol_weak,pullback_vol_weak,107852,31.68,36.4,-36.92,25.0,-25.0,0.72
cat_atr_ratio,atr_low,31362,31.53,34.88,-36.33,25.0,-20.0,-0.27
time_bucket_15m,17:30-17:45,2073,31.31,33.77,-33.65,25.0,-25.0,1.73
time_bucket_15m,02:00-02:15,2073,30.92,32.39,-34.85,20.0,-20.0,-0.1
time_bucket_15m,01:30-01:45,2073,30.82,32.07,-34.84,20.0,-25.0,-0.37
time_bucket_15m,01:00-01:15,2073,30.68,36.27,-35.12,25.0,-20.0,2.98
time_bucket_15m,02:45-03:00,2073,30.68,31.41,-33.86,20.0,-20.0,-0.17
time_bucket_15m,21:15-21:30,2073,30.63,38.94,-38.6,20.0,-25.0,0.9
cat_bb_ratio,bb_squeeze,74359,30.6,35.07,-36.49,20.0,-20.0,-0.11
cat_vol_ratio,vol_low,82025,30.17,35.3,-35.81,20.0,-20.0,0.66
cat_gap,gap_flat,36929,29.99,35.01,-35.64,20.0,-20.0,0.55
time_bucket_15m,17:45-18:00,2073,29.23,33.03,-34.44,25.0,-25.0,0.28
time_bucket_15m,02:15-02:30,2073,28.9,33.39,-33.27,20.0,-20.0,2.02
time_bucket_15m,04:45-05:00,2073,28.7,31.26,-32.05,20.0,-20.0,-0.63
time_bucket_15m,03:45-04:00,2073,28.27,29.22,-31.54,20.0,-20.0,-0.07
time_bucket_15m,21:45-22:00,2073,27.59,31.11,-31.21,20.0,-20.0,0.28
time_bucket_15m,04:30-04:45,2073,27.45,32.77,-31.48,25.0,-20.0,2.45
time_bucket_15m,16:45-17:00,990,27.17,34.92,-34.18,25.0,-20.0,1.18
time_bucket_15m,21:30-21:45,2073,27.06,33.17,-31.35,20.0,-20.0,2.43
time_bucket_15m,04:15-04:30,2073,27.06,29.54,-30.79,20.0,-20.0,0.08
time_bucket_15m,11:45-12:00,2070,26.96,29.27,-29.29,20.0,-20.0,0.39
time_bucket_15m,02:30-02:45,2073,26.77,31.38,-31.77,20.0,-20.0,1.79
time_bucket_15m,03:00-03:15,2073,26.77,30.93,-31.25,20.0,-20.0,1.35
time_bucket_15m,03:30-03:45,2073,26.39,28.03,-29.31,20.0,-20.0,-0.03
time_bucket_15m,11:30-11:45,2070,26.33,30.46,-30.58,20.0,-25.0,1.01
time_bucket_15m,18:00-18:15,2073,26.1,30.51,-32.95,20.0,-20.0,-0.97
time_bucket_15m,18:15-18:30,2073,25.81,29.0,-30.54,20.0,-20.0,-1.96
time_bucket_15m,04:00-04:15,2073,25.76,28.67,-28.72,20.0,-20.0,2.24
time_bucket_15m,03:15-03:30,2073,24.79,32.35,-29.35,20.0,-20.0,3.67
time_bucket_15m,16:30-16:45,990,24.44,33.83,-30.09,25.0,-20.0,1.68
time_bucket_15m,22:00-22:15,2073,24.31,28.65,-28.77,20.0,-20.0,1.11
time_bucket_15m,20:45-21:00,2073,24.26,28.25,-30.67,20.0,-20.0,-0.93
time_bucket_15m,18:30-18:45,2073,24.22,26.8,-29.72,20.0,-20.0,-1.47
time_bucket_15m,12:00-12:15,2070,23.43,28.07,-26.78,20.0,-20.0,0.66
time_bucket_15m,21:00-21:15,2073,23.35,26.65,-29.92,20.0,-20.0,-1.34
time_bucket_15m,19:45-20:00,2073,23.25,30.4,-27.42,20.0,-20.0,4.11
time_bucket_15m,18:45-19:00,2073,21.37,28.64,-28.34,20.0,-20.0,0.81
time_bucket_15m,20:15-20:30,2073,20.94,25.02,-27.63,15.0,-20.0,-1.96
time_bucket_15m,19:15-19:30,2073,20.69,25.94,-26.99,20.0,-15.0,0.07
time_bucket_15m,19:30-19:45,2073,19.68,25.14,-24.93,15.0,-15.0,1.0
time_bucket_15m,20:00-20:15,2073,19.54,26.86,-26.54,15.0,-15.0,0.5
time_bucket_15m,19:00-19:15,2073,19.39,25.87,-26.1,20.0,-15.0,0.31
time_bucket_15m,20:30-20:45,2073,19.34,25.12,-27.06,20.0,-15.0,-0.62
time_bucket_15m,05:00-05:15,2073,17.61,23.29,-23.65,15.0,-15.0,-0.34
time_bucket_15m,05:15-05:30,2073,16.69,21.45,-23.55,15.0,-15.0,-0.64
time_bucket_15m,05:30-05:45,2073,14.86,22.54,-21.91,15.0,-15.0,0.53
