label,side,signal_time,entry_time,exit_time,year,month,pnl_pt,pnl_yen,result
SHORT_4,short,2025-04-10 23:00:00,2025-04-10 23:05:00,2025-04-10 23:05:00,2025,4,117.8,1178,TP
SHORT_4,short,2025-04-14 08:45:00,2025-04-14 08:50:00,2025-04-14 08:50:00,2025,4,-62.2,-622,SL
SHORT_4,short,2025-04-23 08:55:00,2025-04-23 09:00:00,2025-04-23 09:00:00,2025,4,117.8,1178,TP
SHORT_4,short,2025-04-24 00:00:00,2025-04-24 00:05:00,2025-04-24 00:20:00,2025,4,117.8,1178,TP
SHORT_4,short,2025-05-07 08:45:00,2025-05-07 08:50:00,2025-05-07 09:00:00,2025,5,117.8,1178,TP
SHORT_4,short,2025-05-07 08:55:00,2025-05-07 09:00:00,2025-05-07 09:05:00,2025,5,117.8,1178,TP
SHORT_4,short,2025-05-29 08:45:00,2025-05-29 08:50:00,2025-05-29 09:00:00,2025,5,-62.2,-622,SL
SHORT_4,short,2025-07-04 21:35:00,2025-07-04 21:40:00,2025-07-04 22:05:00,2025,7,-2.2,-22,TIME
SHORT_4,short,2025-07-23 08:45:00,2025-07-23 08:50:00,2025-07-23 08:50:00,2025,7,-62.2,-622,SL
SHORT_4,short,2025-07-23 09:00:00,2025-07-23 09:05:00,2025-07-23 09:05:00,2025,7,-62.2,-622,SL
SHORT_4,short,2025-08-13 21:30:00,2025-08-13 21:35:00,2025-08-13 21:35:00,2025,8,-62.2,-622,SL
SHORT_4,short,2025-08-25 23:15:00,2025-08-25 23:20:00,2025-08-25 23:20:00,2025,8,117.8,1178,TP
SHORT_4,short,2025-09-08 08:45:00,2025-09-08 08:50:00,2025-09-08 09:00:00,2025,9,117.8,1178,TP
SHORT_4,short,2025-09-08 08:55:00,2025-09-08 09:00:00,2025-09-08 09:00:00,2025,9,117.8,1178,TP
SHORT_4,short,2025-09-08 09:00:00,2025-09-08 09:05:00,2025-09-08 09:05:00,2025,9,-62.2,-622,SL
SHORT_4,short,2025-10-06 08:45:00,2025-10-06 08:50:00,2025-10-06 08:50:00,2025,10,117.8,1178,TP
SHORT_4,short,2025-10-06 08:55:00,2025-10-06 09:00:00,2025-10-06 09:00:00,2025,10,117.8,1178,TP
SHORT_4,short,2025-10-06 09:00:00,2025-10-06 09:05:00,2025-10-06 09:05:00,2025,10,-62.2,-622,SL
SHORT_4,short,2025-10-14 09:00:00,2025-10-14 09:05:00,2025-10-14 09:05:00,2025,10,-62.2,-622,SL
SHORT_4,short,2025-10-20 20:15:00,2025-10-20 20:20:00,2025-10-20 20:25:00,2025,10,-62.2,-622,SL
SHORT_4,short,2025-11-05 12:50:00,2025-11-05 12:55:00,2025-11-05 13:00:00,2025,11,117.8,1178,TP
SHORT_4,short,2026-01-12 00:00:00,2026-01-12 00:05:00,2026-01-12 00:05:00,2026,1,117.8,1178,TP
SHORT_4,short,2026-01-12 23:40:00,2026-01-12 23:45:00,2026-01-12 23:45:00,2026,1,-62.2,-622,SL
SHORT_4,short,2026-02-09 08:45:00,2026-02-09 08:50:00,2026-02-09 08:50:00,2026,2,117.8,1178,TP
SHORT_4,short,2026-02-09 08:55:00,2026-02-09 09:00:00,2026-02-09 09:00:00,2026,2,117.8,1178,TP
SHORT_4,short,2026-02-09 09:00:00,2026-02-09 09:05:00,2026-02-09 09:05:00,2026,2,117.8,1178,TP
SHORT_4,short,2026-03-04 20:45:00,2026-03-04 20:50:00,2026-03-04 20:55:00,2026,3,117.8,1178,TP
SHORT_4,short,2026-03-24 20:15:00,2026-03-24 20:20:00,2026-03-24 20:20:00,2026,3,117.8,1178,TP
SHORT_4,short,2026-03-24 20:20:00,2026-03-24 20:25:00,2026-03-24 20:25:00,2026,3,117.8,1178,TP
SHORT_4,short,2026-04-03 23:35:00,2026-04-03 23:40:00,2026-04-03 23:40:00,2026,4,117.8,1178,TP
SHORT_4,short,2026-04-03 23:45:00,2026-04-03 23:50:00,2026-04-03 23:55:00,2026,4,-62.2,-622,SL
SHORT_4,short,2026-04-08 08:50:00,2026-04-08 08:55:00,2026-04-08 08:55:00,2026,4,-62.2,-622,SL
SHORT_4,short,2026-04-08 08:55:00,2026-04-08 09:00:00,2026-04-08 09:00:00,2026,4,-62.2,-622,SL
SHORT_4,short,2026-04-08 09:00:00,2026-04-08 09:05:00,2026-04-08 09:05:00,2026,4,117.8,1178,TP
SHORT_4,short,2026-04-24 09:00:00,2026-04-24 09:05:00,2026-04-24 09:05:00,2026,4,-62.2,-622,SL
