entry_time,exit_time,entry,exit,pnl,pnl_1lot,result,lot,month
2026-02-03 03:55:00+00:00,2026-02-03 03:55:00+00:00,54530.0,54549.0,18.0,18.0,TP,1,2026-02
2026-02-04 01:10:00+00:00,2026-02-04 01:10:00+00:00,54270.0,54289.0,18.0,18.0,TP,1,2026-02
2026-02-04 01:15:00+00:00,2026-02-04 01:15:00+00:00,54395.0,54414.0,18.0,18.0,TP,1,2026-02
2026-02-04 01:20:00+00:00,2026-02-04 01:20:00+00:00,54405.0,54424.0,18.0,18.0,TP,1,2026-02
2026-02-04 01:25:00+00:00,2026-02-04 01:25:00+00:00,54430.0,54427.0,-4.0,-4.0,SL,1,2026-02
2026-02-04 02:00:00+00:00,2026-02-04 02:05:00+00:00,54490.0,54509.0,18.0,18.0,TP,1,2026-02
2026-02-04 02:05:00+00:00,2026-02-04 02:05:00+00:00,54510.0,54529.0,18.0,18.0,TP,1,2026-02
2026-02-04 02:10:00+00:00,2026-02-04 02:10:00+00:00,54550.0,54569.0,18.0,18.0,TP,1,2026-02
2026-02-06 02:10:00+00:00,2026-02-06 02:10:00+00:00,53980.0,53999.0,18.0,18.0,TP,1,2026-02
2026-02-06 02:15:00+00:00,2026-02-06 02:15:00+00:00,54075.0,54072.0,-4.0,-4.0,SL,1,2026-02
2026-02-10 00:40:00+00:00,2026-02-10 00:40:00+00:00,57440.0,57459.0,18.0,18.0,TP,1,2026-02
2026-02-10 00:45:00+00:00,2026-02-10 00:45:00+00:00,57455.0,57474.0,18.0,18.0,TP,1,2026-02
2026-02-10 00:50:00+00:00,2026-02-10 00:50:00+00:00,57480.0,57499.0,18.0,18.0,TP,1,2026-02
2026-02-10 00:55:00+00:00,2026-02-10 00:55:00+00:00,57540.0,57559.0,18.0,18.0,TP,1,2026-02
2026-02-10 01:00:00+00:00,2026-02-10 01:00:00+00:00,57600.0,57619.0,18.0,18.0,TP,1,2026-02
2026-02-10 01:15:00+00:00,2026-02-10 01:15:00+00:00,57780.0,57799.0,18.0,18.0,TP,1,2026-02
2026-02-10 01:20:00+00:00,2026-02-10 01:20:00+00:00,57815.0,57834.0,18.0,18.0,TP,1,2026-02
2026-02-10 01:25:00+00:00,2026-02-10 01:25:00+00:00,57975.0,57994.0,18.0,18.0,TP,1,2026-02
2026-02-10 01:30:00+00:00,2026-02-10 01:30:00+00:00,57960.0,57957.0,-4.0,-4.0,SL,1,2026-02
2026-02-11 00:45:00+00:00,2026-02-11 00:50:00+00:00,58165.0,58184.0,18.0,18.0,TP,1,2026-02
2026-02-11 00:50:00+00:00,2026-02-11 00:50:00+00:00,58230.0,58227.0,-4.0,-4.0,SL,1,2026-02
2026-02-13 01:20:00+00:00,2026-02-13 01:20:00+00:00,57250.0,57247.0,-4.0,-4.0,SL,1,2026-02
2026-02-18 00:20:00+00:00,2026-02-18 00:20:00+00:00,57160.0,57157.0,-4.0,-4.0,SL,1,2026-02
2026-02-18 00:30:00+00:00,2026-02-18 00:30:00+00:00,57150.0,57147.0,-4.0,-4.0,SL,1,2026-02
2026-02-18 01:25:00+00:00,2026-02-18 01:25:00+00:00,57125.0,57144.0,18.0,18.0,TP,1,2026-02
2026-02-18 01:30:00+00:00,2026-02-18 01:30:00+00:00,57185.0,57182.0,-4.0,-4.0,SL,1,2026-02
2026-02-19 00:50:00+00:00,2026-02-19 00:50:00+00:00,57630.0,57649.0,18.0,18.0,TP,1,2026-02
2026-02-24 00:40:00+00:00,2026-02-24 00:40:00+00:00,57135.0,57154.0,18.0,18.0,TP,1,2026-02
2026-02-24 00:45:00+00:00,2026-02-24 00:45:00+00:00,57165.0,57184.0,18.0,18.0,TP,1,2026-02
2026-02-24 00:50:00+00:00,2026-02-24 00:50:00+00:00,57310.0,57307.0,-4.0,-4.0,SL,1,2026-02
2026-02-25 00:25:00+00:00,2026-02-25 00:25:00+00:00,58055.0,58052.0,-4.0,-4.0,SL,1,2026-02
2026-02-25 01:40:00+00:00,2026-02-25 01:40:00+00:00,58190.0,58209.0,18.0,18.0,TP,1,2026-02
2026-02-25 01:45:00+00:00,2026-02-25 01:45:00+00:00,58225.0,58222.0,-4.0,-4.0,SL,1,2026-02
2026-02-25 01:50:00+00:00,2026-02-25 01:50:00+00:00,58230.0,58249.0,18.0,18.0,TP,1,2026-02
2026-02-25 03:50:00+00:00,2026-02-25 03:50:00+00:00,58495.0,58514.0,18.0,18.0,TP,1,2026-02
2026-02-25 03:55:00+00:00,2026-02-25 03:55:00+00:00,58570.0,58589.0,18.0,18.0,TP,1,2026-02
2026-02-27 02:10:00+00:00,2026-02-27 02:15:00+00:00,58500.0,58519.0,18.0,18.0,TP,1,2026-02
2026-02-27 02:15:00+00:00,2026-02-27 02:15:00+00:00,58510.0,58529.0,18.0,18.0,TP,1,2026-02
2026-02-27 02:20:00+00:00,2026-02-27 02:20:00+00:00,58595.0,58592.0,-4.0,-4.0,SL,1,2026-02
2026-02-27 03:50:00+00:00,2026-02-27 03:50:00+00:00,58855.0,58874.0,18.0,18.0,TP,1,2026-02
2026-02-27 03:55:00+00:00,2026-02-27 03:55:00+00:00,58895.0,58892.0,-4.0,-4.0,SL,1,2026-02
2026-03-03 01:15:00+00:00,2026-03-03 01:15:00+00:00,57475.0,57472.0,-4.0,-4.0,SL,1,2026-03
2026-03-04 00:20:00+00:00,2026-03-04 00:20:00+00:00,55555.0,55574.0,18.0,18.0,TP,1,2026-03
2026-03-05 00:30:00+00:00,2026-03-05 00:30:00+00:00,56540.0,56559.0,18.0,18.0,TP,1,2026-03
2026-03-06 00:15:00+00:00,2026-03-06 00:15:00+00:00,55155.0,55174.0,18.0,18.0,TP,1,2026-03
2026-03-06 01:05:00+00:00,2026-03-06 01:05:00+00:00,55175.0,55194.0,18.0,18.0,TP,1,2026-03
2026-03-06 02:25:00+00:00,2026-03-06 02:25:00+00:00,55460.0,55514.0,53.0,53.0,LUNCH,1,2026-03
2026-03-06 02:30:00+00:00,2026-03-06 02:30:00+00:00,55495.0,55464.0,-32.0,-32.0,LUNCH,1,2026-03
2026-03-11 00:55:00+00:00,2026-03-11 00:55:00+00:00,55295.0,55314.0,18.0,18.0,TP,1,2026-03
2026-03-11 03:40:00+00:00,2026-03-11 03:40:00+00:00,55660.0,55679.0,18.0,18.0,TP,1,2026-03
2026-03-11 03:45:00+00:00,2026-03-11 03:45:00+00:00,55680.0,55699.0,18.0,18.0,TP,1,2026-03
2026-03-11 03:50:00+00:00,2026-03-11 03:50:00+00:00,55710.0,55707.0,-4.0,-4.0,SL,1,2026-03
2026-03-12 01:35:00+00:00,2026-03-12 01:35:00+00:00,54625.0,54644.0,18.0,18.0,TP,1,2026-03
2026-03-12 01:40:00+00:00,2026-03-12 01:40:00+00:00,54665.0,54684.0,18.0,18.0,TP,1,2026-03
2026-03-12 01:45:00+00:00,2026-03-12 01:45:00+00:00,54665.0,54662.0,-4.0,-4.0,SL,1,2026-03
2026-03-13 00:20:00+00:00,2026-03-13 00:20:00+00:00,53720.0,53717.0,-4.0,-4.0,SL,1,2026-03
2026-03-13 01:10:00+00:00,2026-03-13 01:10:00+00:00,53940.0,53937.0,-4.0,-4.0,SL,1,2026-03
2026-03-18 00:15:00+00:00,2026-03-18 00:15:00+00:00,54465.0,54462.0,-4.0,-4.0,SL,1,2026-03
2026-03-18 00:55:00+00:00,2026-03-18 00:55:00+00:00,54390.0,54409.0,18.0,18.0,TP,1,2026-03
2026-03-18 01:00:00+00:00,2026-03-18 01:00:00+00:00,54490.0,54509.0,18.0,18.0,TP,1,2026-03
2026-03-18 01:05:00+00:00,2026-03-18 01:05:00+00:00,54580.0,54599.0,18.0,18.0,TP,1,2026-03
2026-03-18 01:10:00+00:00,2026-03-18 01:10:00+00:00,54650.0,54669.0,18.0,18.0,TP,1,2026-03
2026-03-18 01:15:00+00:00,2026-03-18 01:15:00+00:00,54705.0,54724.0,18.0,18.0,TP,1,2026-03
