datetime,open,high,low,close,volume
2026-03-06 18:40:00,55555.0,55695.0,55540.0,55650.0,5408
2026-03-06 18:45:00,55655.0,55760.0,55645.0,55760.0,4124
2026-03-06 18:50:00,55760.0,55785.0,55615.0,55615.0,4682
2026-03-06 18:55:00,55610.0,55870.0,55610.0,55835.0,4696
2026-03-06 19:00:00,55830.0,55870.0,55755.0,55795.0,4186
2026-03-06 19:05:00,55800.0,55910.0,55785.0,55855.0,3625
2026-03-06 19:10:00,55855.0,55900.0,55830.0,55840.0,2370
2026-03-06 19:15:00,55845.0,55905.0,55815.0,55865.0,2421
2026-03-06 19:20:00,55870.0,55935.0,55820.0,55875.0,3497
2026-03-06 19:25:00,55875.0,55930.0,55830.0,55915.0,2282
2026-03-06 19:30:00,55925.0,55945.0,55855.0,55915.0,2516
2026-03-06 19:35:00,55910.0,55925.0,55820.0,55825.0,2262
2026-03-06 19:40:00,55815.0,55825.0,55745.0,55780.0,4483
2026-03-06 19:45:00,55785.0,55845.0,55770.0,55810.0,2967
2026-03-06 19:50:00,55815.0,55980.0,55800.0,55975.0,3618
2026-03-06 19:55:00,55970.0,55980.0,55920.0,55955.0,2838
2026-03-06 20:00:00,55955.0,56015.0,55845.0,55945.0,6502
2026-03-06 20:05:00,55950.0,55980.0,55890.0,55960.0,2142
2026-03-06 20:10:00,55975.0,56030.0,55920.0,56015.0,2285
2026-03-06 20:15:00,56005.0,56095.0,55970.0,56065.0,2952
2026-03-06 20:20:00,56065.0,56125.0,55925.0,55925.0,4195
2026-03-06 20:25:00,55930.0,55975.0,55860.0,55890.0,4133
2026-03-06 20:30:00,55885.0,55950.0,55815.0,55835.0,5040
2026-03-06 20:35:00,55835.0,55840.0,55710.0,55735.0,5252
2026-03-06 20:40:00,55735.0,55820.0,55705.0,55810.0,2945
2026-03-06 20:45:00,55810.0,55895.0,55785.0,55800.0,3978
2026-03-06 20:50:00,55795.0,55845.0,55730.0,55740.0,2677
2026-03-06 20:55:00,55745.0,55800.0,55720.0,55745.0,2393
2026-03-06 21:00:00,55750.0,55780.0,55660.0,55720.0,4871
2026-03-06 21:05:00,55715.0,55780.0,55675.0,55760.0,2590
2026-03-06 21:10:00,55760.0,55770.0,55685.0,55730.0,2391
2026-03-06 21:15:00,55735.0,55800.0,55690.0,55800.0,2688
2026-03-06 21:20:00,55800.0,55945.0,55800.0,55860.0,4945
2026-03-06 21:25:00,55855.0,55880.0,55815.0,55845.0,1891
2026-03-06 21:30:00,55835.0,55870.0,55805.0,55840.0,2193
2026-03-06 21:35:00,55840.0,55865.0,55775.0,55805.0,2395
2026-03-06 21:40:00,55800.0,55840.0,55720.0,55740.0,2422
2026-03-06 21:45:00,55730.0,55820.0,55705.0,55745.0,2475
2026-03-06 21:50:00,55745.0,55755.0,55610.0,55655.0,4594
2026-03-06 21:55:00,55660.0,55690.0,55615.0,55655.0,2684
2026-03-06 22:00:00,55655.0,55670.0,55580.0,55605.0,3317
2026-03-06 22:05:00,55605.0,55635.0,55555.0,55560.0,3511
2026-03-06 22:10:00,55565.0,55575.0,55510.0,55520.0,3728
2026-03-06 22:15:00,55515.0,55580.0,55485.0,55510.0,3512
2026-03-06 22:20:00,55510.0,55550.0,55470.0,55490.0,2435
2026-03-06 22:25:00,55485.0,55520.0,55365.0,55520.0,4862
2026-03-06 22:30:00,55505.0,55580.0,55405.0,55460.0,5168
2026-03-06 22:35:00,55465.0,55470.0,55380.0,55425.0,4245
