entry_time,exit_time,entry,exit,pnl,pnl_1lot,result,lot,month
2026-02-10 00:50:00+00:00,2026-02-10 00:50:00+00:00,57491.0,57520.0,29.0,29.0,TP,1,2026-02
2026-02-10 00:55:00+00:00,2026-02-10 00:55:00+00:00,57551.0,57580.0,29.0,29.0,TP,1,2026-02
2026-02-10 01:00:00+00:00,2026-02-10 01:00:00+00:00,57611.0,57598.0,-13.0,-13.0,SL,1,2026-02
2026-02-10 01:15:00+00:00,2026-02-10 01:15:00+00:00,57791.0,57820.0,29.0,29.0,TP,1,2026-02
2026-02-10 01:20:00+00:00,2026-02-10 01:20:00+00:00,57826.0,57855.0,29.0,29.0,TP,1,2026-02
2026-02-10 01:25:00+00:00,2026-02-10 01:25:00+00:00,57986.0,57973.0,-13.0,-13.0,SL,1,2026-02
2026-02-10 01:30:00+00:00,2026-02-10 01:30:00+00:00,57971.0,57958.0,-13.0,-13.0,SL,1,2026-02
2026-02-11 00:45:00+00:00,2026-02-11 00:45:00+00:00,58176.0,58163.0,-13.0,-13.0,SL,1,2026-02
2026-02-11 00:50:00+00:00,2026-02-11 00:50:00+00:00,58241.0,58228.0,-13.0,-13.0,SL,1,2026-02
2026-02-13 01:20:00+00:00,2026-02-13 01:20:00+00:00,57261.0,57248.0,-13.0,-13.0,SL,1,2026-02
2026-02-18 00:20:00+00:00,2026-02-18 00:20:00+00:00,57171.0,57158.0,-13.0,-13.0,SL,1,2026-02
2026-02-18 00:30:00+00:00,2026-02-18 00:30:00+00:00,57161.0,57148.0,-13.0,-13.0,SL,1,2026-02
2026-02-18 01:25:00+00:00,2026-02-18 01:25:00+00:00,57136.0,57123.0,-13.0,-13.0,SL,1,2026-02
2026-02-19 00:50:00+00:00,2026-02-19 00:50:00+00:00,57641.0,57670.0,29.0,29.0,TP,1,2026-02
2026-02-24 00:40:00+00:00,2026-02-24 00:40:00+00:00,57146.0,57175.0,29.0,29.0,TP,1,2026-02
2026-02-24 00:45:00+00:00,2026-02-24 00:45:00+00:00,57176.0,57205.0,29.0,29.0,TP,1,2026-02
2026-02-24 00:50:00+00:00,2026-02-24 00:50:00+00:00,57321.0,57308.0,-13.0,-13.0,SL,1,2026-02
2026-02-25 00:25:00+00:00,2026-02-25 00:25:00+00:00,58066.0,58053.0,-13.0,-13.0,SL,1,2026-02
2026-02-25 01:40:00+00:00,2026-02-25 01:40:00+00:00,58201.0,58188.0,-13.0,-13.0,SL,1,2026-02
2026-02-25 01:45:00+00:00,2026-02-25 01:45:00+00:00,58236.0,58223.0,-13.0,-13.0,SL,1,2026-02
2026-02-27 02:10:00+00:00,2026-02-27 02:10:00+00:00,58511.0,58498.0,-13.0,-13.0,SL,1,2026-02
2026-02-27 02:15:00+00:00,2026-02-27 02:15:00+00:00,58521.0,58550.0,29.0,29.0,TP,1,2026-02
2026-02-27 02:20:00+00:00,2026-02-27 02:20:00+00:00,58606.0,58593.0,-13.0,-13.0,SL,1,2026-02
2026-02-27 03:50:00+00:00,2026-02-27 03:50:00+00:00,58866.0,58895.0,29.0,29.0,TP,1,2026-02
2026-02-27 03:55:00+00:00,2026-02-27 03:55:00+00:00,58906.0,58893.0,-13.0,-13.0,SL,1,2026-02
2026-03-03 01:15:00+00:00,2026-03-03 01:15:00+00:00,57486.0,57473.0,-13.0,-13.0,SL,1,2026-03
2026-03-04 00:20:00+00:00,2026-03-04 00:20:00+00:00,55566.0,55595.0,29.0,29.0,TP,1,2026-03
2026-03-05 00:30:00+00:00,2026-03-05 00:30:00+00:00,56551.0,56580.0,29.0,29.0,TP,1,2026-03
2026-03-06 00:15:00+00:00,2026-03-06 00:15:00+00:00,55166.0,55153.0,-13.0,-13.0,SL,1,2026-03
2026-03-06 01:05:00+00:00,2026-03-06 01:05:00+00:00,55186.0,55173.0,-13.0,-13.0,SL,1,2026-03
2026-03-06 02:25:00+00:00,2026-03-06 02:25:00+00:00,55471.0,55504.0,33.0,33.0,LUNCH,1,2026-03
2026-03-06 02:30:00+00:00,2026-03-06 02:30:00+00:00,55506.0,55454.0,-52.0,-52.0,LUNCH,1,2026-03
2026-03-11 00:55:00+00:00,2026-03-11 00:55:00+00:00,55306.0,55335.0,29.0,29.0,TP,1,2026-03
2026-03-11 03:40:00+00:00,2026-03-11 03:40:00+00:00,55671.0,55658.0,-13.0,-13.0,SL,1,2026-03
2026-03-11 03:45:00+00:00,2026-03-11 03:45:00+00:00,55691.0,55678.0,-13.0,-13.0,SL,1,2026-03
2026-03-11 03:50:00+00:00,2026-03-11 03:50:00+00:00,55721.0,55708.0,-13.0,-13.0,SL,1,2026-03
2026-03-12 01:35:00+00:00,2026-03-12 01:35:00+00:00,54636.0,54665.0,29.0,29.0,TP,1,2026-03
2026-03-12 01:40:00+00:00,2026-03-12 01:40:00+00:00,54676.0,54663.0,-13.0,-13.0,SL,1,2026-03
2026-03-12 01:45:00+00:00,2026-03-12 01:45:00+00:00,54676.0,54663.0,-13.0,-13.0,SL,1,2026-03
2026-03-13 00:20:00+00:00,2026-03-13 00:20:00+00:00,53731.0,53718.0,-13.0,-13.0,SL,1,2026-03
2026-03-13 01:10:00+00:00,2026-03-13 01:10:00+00:00,53951.0,53938.0,-13.0,-13.0,SL,1,2026-03
2026-03-18 00:15:00+00:00,2026-03-18 00:15:00+00:00,54476.0,54463.0,-13.0,-13.0,SL,1,2026-03
2026-03-18 00:55:00+00:00,2026-03-18 00:55:00+00:00,54401.0,54430.0,29.0,29.0,TP,1,2026-03
2026-03-18 01:00:00+00:00,2026-03-18 01:00:00+00:00,54501.0,54530.0,29.0,29.0,TP,1,2026-03
2026-03-18 01:05:00+00:00,2026-03-18 01:05:00+00:00,54591.0,54620.0,29.0,29.0,TP,1,2026-03
2026-03-18 01:10:00+00:00,2026-03-18 01:10:00+00:00,54661.0,54690.0,29.0,29.0,TP,1,2026-03
2026-03-18 01:15:00+00:00,2026-03-18 01:15:00+00:00,54716.0,54703.0,-13.0,-13.0,SL,1,2026-03
2026-03-18 02:10:00+00:00,2026-03-18 02:10:00+00:00,54666.0,54653.0,-13.0,-13.0,SL,1,2026-03
2026-03-18 02:20:00+00:00,2026-03-18 02:20:00+00:00,54781.0,54768.0,-13.0,-13.0,SL,1,2026-03
2026-03-19 00:15:00+00:00,2026-03-19 00:15:00+00:00,53696.0,53683.0,-13.0,-13.0,SL,1,2026-03
2026-03-20 01:40:00+00:00,2026-03-20 01:40:00+00:00,53416.0,53403.0,-13.0,-13.0,SL,1,2026-03
2026-03-20 01:50:00+00:00,2026-03-20 01:50:00+00:00,53326.0,53313.0,-13.0,-13.0,SL,1,2026-03
2026-03-23 01:20:00+00:00,2026-03-23 01:20:00+00:00,51146.0,51133.0,-13.0,-13.0,SL,1,2026-03
2026-03-23 01:50:00+00:00,2026-03-23 01:50:00+00:00,51331.0,51318.0,-13.0,-13.0,SL,1,2026-03
2026-03-23 02:10:00+00:00,2026-03-23 02:10:00+00:00,51426.0,51413.0,-13.0,-13.0,SL,1,2026-03
2026-03-25 00:35:00+00:00,2026-03-25 00:35:00+00:00,53756.0,53743.0,-13.0,-13.0,SL,1,2026-03
2026-03-25 00:40:00+00:00,2026-03-25 00:40:00+00:00,53781.0,53768.0,-13.0,-13.0,SL,1,2026-03
2026-03-27 01:15:00+00:00,2026-03-27 01:15:00+00:00,52651.0,52638.0,-13.0,-13.0,SL,1,2026-03
2026-03-27 01:35:00+00:00,2026-03-27 01:35:00+00:00,52796.0,52783.0,-13.0,-13.0,SL,1,2026-03
2026-03-27 01:40:00+00:00,2026-03-27 01:40:00+00:00,52871.0,52858.0,-13.0,-13.0,SL,1,2026-03
2026-03-30 01:35:00+00:00,2026-03-30 01:35:00+00:00,51191.0,51178.0,-13.0,-13.0,SL,1,2026-03
2026-03-30 03:40:00+00:00,2026-03-30 03:40:00+00:00,51621.0,51650.0,29.0,29.0,TP,1,2026-03
2026-03-30 03:45:00+00:00,2026-03-30 03:45:00+00:00,51611.0,51598.0,-13.0,-13.0,SL,1,2026-03
2026-03-31 00:50:00+00:00,2026-03-31 00:50:00+00:00,51481.0,51468.0,-13.0,-13.0,SL,1,2026-03
2026-03-31 01:20:00+00:00,2026-03-31 01:20:00+00:00,51636.0,51665.0,29.0,29.0,TP,1,2026-03
2026-03-31 01:25:00+00:00,2026-03-31 01:25:00+00:00,51786.0,51815.0,29.0,29.0,TP,1,2026-03
2026-03-31 01:30:00+00:00,2026-03-31 01:30:00+00:00,51841.0,51870.0,29.0,29.0,TP,1,2026-03
2026-03-31 01:35:00+00:00,2026-03-31 01:35:00+00:00,52106.0,52135.0,29.0,29.0,TP,1,2026-03
2026-03-31 01:40:00+00:00,2026-03-31 01:40:00+00:00,52231.0,52218.0,-13.0,-13.0,SL,1,2026-03
