setup,trigger,filters,n,win_rate,pnl,pf
momentum,break2,stoch_dead+vol_big,5003,29.322406556066362,-89336,0.5395336370946127
momentum,down,stoch_dead+upper_wick,11322,30.109521285991875,-205159,0.534307427601204
momentum,down,stoch_dead,11695,30.081231295425397,-212280,0.5333367041190269
momentum,down,stoch_dead+macd_weak,11695,30.081231295425397,-212280,0.5333367041190269
momentum,two,rsi70,78,34.61538461538461,-1251,0.530933633295838
momentum,two,stoch_dead+rsi70,78,34.61538461538461,-1251,0.530933633295838
momentum,two,rsi70+macd_weak,78,34.61538461538461,-1251,0.530933633295838
momentum,two,rsi70+upper_wick,78,34.61538461538461,-1251,0.530933633295838
momentum,break2,rsi70,67,35.82089552238806,-1094,0.5107334525939177
momentum,break2,stoch_dead+rsi70,67,35.82089552238806,-1094,0.5107334525939177
momentum,break2,rsi70+macd_weak,67,35.82089552238806,-1094,0.5107334525939177
momentum,break2,rsi70+upper_wick,67,35.82089552238806,-1094,0.5107334525939177
momentum,break2,upper_wick,14102,28.698057013189622,-270009,0.48651871291647647
momentum,break2,macd_weak+upper_wick,14102,28.698057013189622,-270009,0.48651871291647647
momentum,break2,,14582,28.69976683582499,-279629,0.4863764271964498
momentum,break2,macd_weak,14582,28.69976683582499,-279629,0.4863764271964498
momentum,break1,,16725,28.753363228699552,-319265,0.485854206859679
momentum,break1,macd_weak,16725,28.753363228699552,-319265,0.485854206859679
momentum,break1,upper_wick,16160,28.749999999999996,-308465,0.4852121467003111
momentum,break1,macd_weak+upper_wick,16160,28.749999999999996,-308465,0.4852121467003111
momentum,break2,stoch_dead+upper_wick,12628,28.793158061450747,-242366,0.48345282648911775
momentum,break2,stoch_dead,13058,28.786950528411705,-250921,0.4833433883165899
momentum,break2,stoch_dead+macd_weak,13058,28.786950528411705,-250921,0.4833433883165899
momentum,break1,stoch_dead,15149,28.813783087992604,-290233,0.4822704017924037
momentum,break1,stoch_dead+macd_weak,15149,28.813783087992604,-290233,0.4822704017924037
momentum,break1,stoch_dead+upper_wick,14635,28.8144858216604,-280560,0.4814249354461287
momentum,two,,14823,28.327599001551647,-288296,0.4795095803702159
momentum,two,macd_weak,14823,28.327599001551647,-288296,0.4795095803702159
momentum,two,upper_wick,14823,28.327599001551647,-288296,0.4795095803702159
momentum,two,macd_weak+upper_wick,14823,28.327599001551647,-288296,0.4795095803702159
momentum,two,stoch_dead,12942,28.372739916550767,-252809,0.4761683743770915
momentum,two,stoch_dead+macd_weak,12942,28.372739916550767,-252809,0.4761683743770915
momentum,two,stoch_dead+upper_wick,12942,28.372739916550767,-252809,0.4761683743770915
momentum,bear,,24330,28.442252363337445,-471345,0.47334577308990144
momentum,bear,macd_weak,24330,28.442252363337445,-471345,0.47334577308990144
momentum,bear,upper_wick,24330,28.442252363337445,-471345,0.47334577308990144
momentum,bear,macd_weak+upper_wick,24330,28.442252363337445,-471345,0.47334577308990144
momentum,bear,stoch_dead,21314,28.38040724406493,-417093,0.46736179396477967
momentum,bear,stoch_dead+macd_weak,21314,28.38040724406493,-417093,0.46736179396477967
momentum,bear,stoch_dead+upper_wick,21314,28.38040724406493,-417093,0.46736179396477967
momentum,bear,rsi70,159,33.33333333333333,-2853,0.4634192213654316
momentum,bear,rsi70+macd_weak,159,33.33333333333333,-2853,0.4634192213654316
momentum,bear,rsi70+upper_wick,159,33.33333333333333,-2853,0.4634192213654316
momentum,bear,stoch_dead+rsi70,156,32.69230769230769,-2897,0.4487155090390105
momentum,break1,rsi70,82,31.70731707317073,-1654,0.42005610098176716
momentum,break1,stoch_dead+rsi70,82,31.70731707317073,-1654,0.42005610098176716
momentum,break1,rsi70+macd_weak,82,31.70731707317073,-1654,0.42005610098176716
momentum,break1,rsi70+upper_wick,81,30.864197530864196,-1692,0.4067321178120617
