combo,n,win_rate,pnl,pf
bb2_touch_15m + macd_positive_15m + break_2bar_high,237,31.22,-3984.0,0.535
bb_upper_zone_30m + macd_hist_up_60m + break_2bar_high,135,31.11,-2055.0,0.533
bb2_touch_15m + macd_hist_up_15m + break_prev_high,122,29.51,-2114.0,0.533
bb2_touch_15m + macd_above_signal_60m + break_2bar_high,181,28.73,-3107.0,0.533
bb_width_expand_60m + macd_positive_30m + break_2bar_high,208,28.85,-3201.0,0.533
bb_width_expand_15m + macd_positive_30m + break_prev_high,438,30.14,-7221.0,0.533
bb_upper_zone_30m + macd_golden_cross_15m + break_2bar_high,28,28.57,-421.0,0.532
bb_width_expand_60m + macd_positive_60m + break_2bar_high,225,28.89,-3490.0,0.53
bb_pullback_zone_60m + macd_hist_up_60m + break_2bar_high,181,27.07,-2832.0,0.528
bb_width_expand_15m + macd_positive_60m + break_2bar_high,379,29.55,-6458.0,0.528
bb_width_expand_15m + macd_above_signal_15m + break_2bar_high,278,30.58,-4546.0,0.527
bb_width_expand_60m + macd_positive_15m + break_2bar_high,212,29.25,-3329.0,0.526
bb2_touch_15m + macd_above_signal_15m + break_prev_high,194,31.96,-3178.0,0.524
bb_width_expand_30m + macd_hist_up_60m + break_2bar_high,179,28.49,-2803.0,0.521
bb_width_expand_15m + macd_positive_15m + break_2bar_high,351,29.91,-6087.0,0.52
bb_width_expand_60m + macd_above_signal_30m + break_2bar_high,217,29.03,-3489.0,0.518
bb3_touch_15m + macd_golden_cross_30m + break_prev_high,19,36.84,-318.0,0.517
bb3_touch_15m + macd_golden_cross_30m + break_2bar_high,19,36.84,-318.0,0.517
bb2_touch_15m + macd_above_signal_30m + break_2bar_high,232,30.6,-4044.0,0.517
bb_width_expand_15m + macd_above_signal_30m + break_2bar_high,340,29.41,-5930.0,0.517
bb2_touch_15m + macd_positive_30m + break_prev_high,236,29.24,-4157.0,0.516
bb_width_expand_15m + macd_above_signal_60m + break_prev_high,386,29.27,-6637.0,0.516
bb2_touch_15m + macd_positive_60m + break_2bar_high,262,30.15,-4624.0,0.515
bb_width_expand_30m + macd_above_signal_15m + break_2bar_high,267,31.46,-4014.0,0.513
bb_width_expand_15m + macd_positive_30m + break_2bar_high,347,29.11,-6114.0,0.513
bb_width_expand_60m + macd_hist_up_60m + break_2bar_high,178,28.65,-2846.0,0.51
bb_pullback_zone_15m + macd_hist_up_60m + break_prev_high,192,28.65,-3159.0,0.51
bb2_touch_15m + macd_positive_15m + break_prev_high,256,30.47,-4587.0,0.508
bb2_touch_15m + macd_above_signal_60m + break_prev_high,196,28.06,-3577.0,0.507
bb_width_expand_15m + macd_above_signal_60m + break_2bar_high,304,28.29,-5538.0,0.502
bb_pullback_zone_30m + macd_hist_up_15m + break_2bar_high,409,28.85,-7208.0,0.501
bb_pullback_zone_30m + macd_hist_up_15m + break_prev_high,451,29.05,-7937.0,0.499
bb_upper_zone_30m + macd_golden_cross_15m + break_prev_high,29,27.59,-483.0,0.498
bb_upper_zone_15m + macd_hist_up_15m + break_prev_high,256,27.34,-4782.0,0.494
bb2_touch_60m + macd_golden_cross_15m + break_prev_high,10,30.0,-165.0,0.491
bb2_touch_60m + macd_golden_cross_15m + break_2bar_high,10,30.0,-165.0,0.491
bb_pullback_zone_15m + macd_hist_up_30m + break_2bar_high,138,28.26,-2341.0,0.491
bb2_touch_15m + macd_above_signal_30m + break_prev_high,251,29.88,-4647.0,0.491
bb_pullback_zone_15m + macd_hist_up_15m + break_prev_high,298,28.86,-5106.0,0.49
bb_pullback_zone_30m + macd_hist_up_60m + break_2bar_high,213,27.23,-3676.0,0.489
bb2_touch_15m + macd_positive_60m + break_prev_high,282,29.43,-5289.0,0.489
bb2_touch_60m + macd_hist_up_60m + break_prev_high,39,35.9,-653.0,0.488
bb_upper_zone_60m + macd_golden_cross_30m + break_2bar_high,25,32.0,-465.0,0.486
bb_upper_zone_15m + macd_hist_up_15m + break_2bar_high,240,27.08,-4580.0,0.486
bb_upper_zone_30m + macd_hist_up_2_15m + break_prev_high,5,20.0,-105.0,0.483
bb_upper_zone_30m + macd_hist_up_2_15m + break_2bar_high,5,20.0,-105.0,0.483
bb_pullback_zone_60m + macd_hist_up_2_15m + break_prev_high,5,20.0,-105.0,0.483
bb_pullback_zone_60m + macd_hist_up_2_15m + break_2bar_high,5,20.0,-105.0,0.483
bb_upper_zone_15m + macd_above_signal_15m + break_2bar_high,431,29.47,-7712.0,0.48
bb_upper_zone_60m + macd_golden_cross_30m + break_prev_high,26,30.77,-482.0,0.477
bb2_touch_60m + macd_positive_60m + break_2bar_high,397,31.99,-6844.0,0.474
bb_upper_zone_15m + macd_above_signal_15m + break_prev_high,517,29.21,-9439.0,0.474
bb2_touch_60m + macd_above_signal_15m + break_2bar_high,333,31.53,-5796.0,0.472
