rule,entry_time,exit_time,entry,exit,pnl,pnl_1lot,result,lot,month,weekday,hour_jst
rule2_ma_trend,2026-01-22 10:22:00,2026-01-22 10:22:00,53546.0,53525.0,-21.0,-21.0,SL,1,2026-01,Thursday,10
rule2_ma_trend,2026-01-23 12:47:00,2026-01-23 12:47:00,53986.0,53990.0,4.0,4.0,TP,1,2026-01,Friday,12
rule2_ma_trend,2026-01-23 12:48:00,2026-01-23 12:48:00,54026.0,54005.0,-21.0,-21.0,SL,1,2026-01,Friday,12
rule2_ma_trend,2026-01-23 12:52:00,2026-01-23 12:52:00,54076.0,54055.0,-21.0,-21.0,SL,1,2026-01,Friday,12
rule2_ma_trend,2026-01-23 12:55:00,2026-01-23 12:55:00,54081.0,54060.0,-21.0,-21.0,SL,1,2026-01,Friday,12
rule2_ma_trend,2026-01-26 10:23:00,2026-01-26 10:23:00,53141.0,53120.0,-21.0,-21.0,SL,1,2026-01,Monday,10
rule2_ma_trend,2026-01-26 12:51:00,2026-01-26 12:51:00,52896.0,52875.0,-21.0,-21.0,SL,1,2026-01,Monday,12
rule2_ma_trend,2026-01-26 12:54:00,2026-01-26 12:54:00,52896.0,52900.0,4.0,4.0,TP,1,2026-01,Monday,12
rule2_ma_trend,2026-01-27 10:18:00,2026-01-27 10:18:00,53016.0,52995.0,-21.0,-21.0,SL,1,2026-01,Tuesday,10
rule2_ma_trend,2026-01-27 10:35:00,2026-01-27 10:35:00,52986.0,52965.0,-21.0,-21.0,SL,1,2026-01,Tuesday,10
rule2_ma_trend,2026-01-27 11:11:00,2026-01-27 11:11:00,53016.0,52995.0,-21.0,-21.0,SL,1,2026-01,Tuesday,11
rule2_ma_trend,2026-01-29 12:31:00,2026-01-29 12:31:00,53401.0,53380.0,-21.0,-21.0,SL,1,2026-01,Thursday,12
rule2_ma_trend,2026-02-02 09:25:00,2026-02-02 09:25:00,54161.0,54165.0,4.0,4.0,TP,1,2026-02,Monday,9
rule2_ma_trend,2026-02-02 10:03:00,2026-02-02 10:03:00,54256.0,54260.0,4.0,4.0,TP,1,2026-02,Monday,10
rule2_ma_trend,2026-02-03 09:32:00,2026-02-03 09:32:00,54081.0,54060.0,-21.0,-21.0,SL,1,2026-02,Tuesday,9
rule2_ma_trend,2026-02-03 09:40:00,2026-02-03 09:40:00,54106.0,54110.0,4.0,4.0,TP,1,2026-02,Tuesday,9
rule2_ma_trend,2026-02-03 10:06:00,2026-02-03 10:06:00,54091.0,54070.0,-21.0,-21.0,SL,1,2026-02,Tuesday,10
rule2_ma_trend,2026-02-03 10:19:00,2026-02-03 10:19:00,54246.0,54225.0,-21.0,-21.0,SL,1,2026-02,Tuesday,10
rule2_ma_trend,2026-02-03 10:26:00,2026-02-03 10:26:00,54291.0,54295.0,4.0,4.0,TP,1,2026-02,Tuesday,10
rule2_ma_trend,2026-02-03 12:52:00,2026-02-03 12:52:00,54436.0,54415.0,-21.0,-21.0,SL,1,2026-02,Tuesday,12
rule2_ma_trend,2026-02-03 12:55:00,2026-02-03 12:55:00,54461.0,54465.0,4.0,4.0,TP,1,2026-02,Tuesday,12
rule2_ma_trend,2026-02-03 12:56:00,2026-02-03 12:56:00,54481.0,54485.0,4.0,4.0,TP,1,2026-02,Tuesday,12
rule2_ma_trend,2026-02-04 09:46:00,2026-02-04 09:46:00,54201.0,54180.0,-21.0,-21.0,SL,1,2026-02,Wednesday,9
rule2_ma_trend,2026-02-04 10:23:00,2026-02-04 10:23:00,54411.0,54390.0,-21.0,-21.0,SL,1,2026-02,Wednesday,10
rule2_ma_trend,2026-02-06 10:50:00,2026-02-06 10:50:00,53636.0,53640.0,4.0,4.0,TP,1,2026-02,Friday,10
rule2_ma_trend,2026-02-06 11:01:00,2026-02-06 11:01:00,53841.0,53845.0,4.0,4.0,TP,1,2026-02,Friday,11
rule2_ma_trend,2026-02-06 11:05:00,2026-02-06 11:05:00,53916.0,53895.0,-21.0,-21.0,SL,1,2026-02,Friday,11
rule2_ma_trend,2026-02-10 09:17:00,2026-02-10 09:17:00,57341.0,57320.0,-21.0,-21.0,SL,1,2026-02,Tuesday,9
rule2_ma_trend,2026-02-10 09:18:00,2026-02-10 09:18:00,57356.0,57360.0,4.0,4.0,TP,1,2026-02,Tuesday,9
rule2_ma_trend,2026-02-10 09:41:00,2026-02-10 09:41:00,57411.0,57390.0,-21.0,-21.0,SL,1,2026-02,Tuesday,9
rule2_ma_trend,2026-02-10 10:09:00,2026-02-10 10:09:00,57641.0,57645.0,4.0,4.0,TP,1,2026-02,Tuesday,10
rule2_ma_trend,2026-02-10 10:24:00,2026-02-10 10:24:00,57911.0,57915.0,4.0,4.0,TP,1,2026-02,Tuesday,10
rule2_ma_trend,2026-02-10 11:24:00,2026-02-10 11:24:00,57946.0,57925.0,-21.0,-21.0,SL,1,2026-02,Tuesday,11
rule2_ma_trend,2026-02-10 11:30:00,2026-02-10 11:30:00,57986.0,57894.0,-92.0,-92.0,LUNCH,1,2026-02,Tuesday,11
rule2_ma_trend,2026-02-13 10:19:00,2026-02-13 10:19:00,57201.0,57180.0,-21.0,-21.0,SL,1,2026-02,Friday,10
rule2_ma_trend,2026-02-13 10:46:00,2026-02-13 10:46:00,57231.0,57210.0,-21.0,-21.0,SL,1,2026-02,Friday,10
rule2_ma_trend,2026-02-13 10:51:00,2026-02-13 10:51:00,57251.0,57255.0,4.0,4.0,TP,1,2026-02,Friday,10
rule2_ma_trend,2026-02-13 11:08:00,2026-02-13 11:08:00,57226.0,57205.0,-21.0,-21.0,SL,1,2026-02,Friday,11
rule2_ma_trend,2026-02-13 11:10:00,2026-02-13 11:10:00,57256.0,57235.0,-21.0,-21.0,SL,1,2026-02,Friday,11
rule2_ma_trend,2026-02-16 12:35:00,2026-02-16 12:35:00,56946.0,56950.0,4.0,4.0,TP,1,2026-02,Monday,12
rule2_ma_trend,2026-02-16 12:36:00,2026-02-16 12:36:00,56956.0,56935.0,-21.0,-21.0,SL,1,2026-02,Monday,12
rule2_ma_trend,2026-02-16 12:39:00,2026-02-16 12:39:00,56956.0,56935.0,-21.0,-21.0,SL,1,2026-02,Monday,12
rule2_ma_trend,2026-02-16 12:47:00,2026-02-16 12:47:00,56976.0,56955.0,-21.0,-21.0,SL,1,2026-02,Monday,12
rule2_ma_trend,2026-02-18 10:58:00,2026-02-18 10:58:00,57236.0,57215.0,-21.0,-21.0,SL,1,2026-02,Wednesday,10
rule2_ma_trend,2026-02-18 11:11:00,2026-02-18 11:11:00,57281.0,57260.0,-21.0,-21.0,SL,1,2026-02,Wednesday,11
rule2_ma_trend,2026-02-19 09:47:00,2026-02-19 09:47:00,57611.0,57590.0,-21.0,-21.0,SL,1,2026-02,Thursday,9
rule2_ma_trend,2026-02-23 10:45:00,2026-02-23 10:45:00,56716.0,56720.0,4.0,4.0,TP,1,2026-02,Monday,10
rule2_ma_trend,2026-02-24 09:16:00,2026-02-24 09:16:00,56956.0,56935.0,-21.0,-21.0,SL,1,2026-02,Tuesday,9
rule2_ma_trend,2026-02-24 09:28:00,2026-02-24 09:28:00,57021.0,57000.0,-21.0,-21.0,SL,1,2026-02,Tuesday,9
rule2_ma_trend,2026-02-24 10:35:00,2026-02-24 10:35:00,57296.0,57275.0,-21.0,-21.0,SL,1,2026-02,Tuesday,10
rule2_ma_trend,2026-02-25 10:32:00,2026-02-25 10:32:00,58101.0,58080.0,-21.0,-21.0,SL,1,2026-02,Wednesday,10
rule2_ma_trend,2026-02-25 10:33:00,2026-02-25 10:33:00,58126.0,58105.0,-21.0,-21.0,SL,1,2026-02,Wednesday,10
rule2_ma_trend,2026-02-25 10:46:00,2026-02-25 10:46:00,58216.0,58195.0,-21.0,-21.0,SL,1,2026-02,Wednesday,10
rule2_ma_trend,2026-02-27 11:06:00,2026-02-27 11:06:00,58446.0,58450.0,4.0,4.0,TP,1,2026-02,Friday,11
rule2_ma_trend,2026-02-27 11:07:00,2026-02-27 11:07:00,58476.0,58455.0,-21.0,-21.0,SL,1,2026-02,Friday,11
rule2_ma_trend,2026-02-27 11:16:00,2026-02-27 11:16:00,58541.0,58520.0,-21.0,-21.0,SL,1,2026-02,Friday,11
rule2_ma_trend,2026-02-27 11:30:00,2026-02-27 11:30:00,58581.0,58534.0,-47.0,-47.0,LUNCH,1,2026-02,Friday,11
rule2_ma_trend,2026-03-02 10:04:00,2026-03-02 10:04:00,58066.0,58070.0,4.0,4.0,TP,1,2026-03,Monday,10
rule2_ma_trend,2026-03-02 10:09:00,2026-03-02 10:09:00,58211.0,58215.0,4.0,4.0,TP,1,2026-03,Monday,10
rule2_ma_trend,2026-03-02 12:42:00,2026-03-02 12:42:00,58061.0,58065.0,4.0,4.0,TP,1,2026-03,Monday,12
rule2_ma_trend,2026-03-02 12:43:00,2026-03-02 12:43:00,58071.0,58050.0,-21.0,-21.0,SL,1,2026-03,Monday,12
rule2_ma_trend,2026-03-02 12:50:00,2026-03-02 12:50:00,58091.0,58070.0,-21.0,-21.0,SL,1,2026-03,Monday,12
rule2_ma_trend,2026-03-02 12:53:00,2026-03-02 12:53:00,58096.0,58075.0,-21.0,-21.0,SL,1,2026-03,Monday,12
rule2_ma_trend,2026-03-05 09:29:00,2026-03-05 09:29:00,56476.0,56480.0,4.0,4.0,TP,1,2026-03,Thursday,9
rule2_ma_trend,2026-03-06 11:04:00,2026-03-06 11:04:00,55181.0,55185.0,4.0,4.0,TP,1,2026-03,Friday,11
rule2_ma_trend,2026-03-06 11:05:00,2026-03-06 11:05:00,55201.0,55205.0,4.0,4.0,TP,1,2026-03,Friday,11
