side,entry_time,exit_time,entry,exit,pnl,result,date,month,weekday,hour_jst
long,2026-01-23 02:05:00+00:00,2026-01-23 02:20:00+00:00,49080.0,49120.0,40.0,TIME,2026-01-23,2026-01,Friday,11
long,2026-01-23 02:20:00+00:00,2026-01-23 03:30:00+00:00,49160.0,49210.0,50.0,TIME,2026-01-23,2026-01,Friday,11
long,2026-01-23 03:50:00+00:00,2026-01-23 04:00:00+00:00,49310.0,49210.0,-100.0,SL,2026-01-23,2026-01,Friday,12
long,2026-01-23 03:55:00+00:00,2026-01-23 03:55:00+00:00,49400.0,49300.0,-100.0,SL,2026-01-23,2026-01,Friday,12
long,2026-01-26 05:20:00+00:00,2026-01-26 05:35:00+00:00,47200.0,47360.0,160.0,TIME,2026-01-26,2026-01,Monday,14
long,2026-01-27 00:30:00+00:00,2026-01-27 00:45:00+00:00,47210.0,47460.0,250.0,TP,2026-01-27,2026-01,Tuesday,9
long,2026-01-27 00:35:00+00:00,2026-01-27 00:50:00+00:00,47260.0,47260.0,0.0,TIME,2026-01-27,2026-01,Tuesday,9
long,2026-01-27 00:45:00+00:00,2026-01-27 00:45:00+00:00,47430.0,47330.0,-100.0,SL,2026-01-27,2026-01,Tuesday,9
long,2026-01-27 01:05:00+00:00,2026-01-27 01:05:00+00:00,47400.0,47300.0,-100.0,SL,2026-01-27,2026-01,Tuesday,10
long,2026-01-27 02:30:00+00:00,2026-01-27 03:40:00+00:00,47530.0,47780.0,250.0,TP,2026-01-27,2026-01,Tuesday,11
long,2026-01-27 03:40:00+00:00,2026-01-27 03:55:00+00:00,47750.0,47740.0,-10.0,TIME,2026-01-27,2026-01,Tuesday,12
long,2026-01-27 04:10:00+00:00,2026-01-27 04:25:00+00:00,47860.0,47810.0,-50.0,TIME,2026-01-27,2026-01,Tuesday,13
long,2026-01-27 04:40:00+00:00,2026-01-27 04:55:00+00:00,47920.0,48030.0,110.0,TIME,2026-01-27,2026-01,Tuesday,13
long,2026-01-27 04:45:00+00:00,2026-01-27 05:00:00+00:00,47960.0,48020.0,60.0,TIME,2026-01-27,2026-01,Tuesday,13
long,2026-01-27 05:45:00+00:00,2026-01-27 06:00:00+00:00,48020.0,48020.0,0.0,TIME,2026-01-27,2026-01,Tuesday,14
long,2026-01-27 06:05:00+00:00,2026-01-27 06:20:00+00:00,48020.0,47920.0,-100.0,SL,2026-01-27,2026-01,Tuesday,15
long,2026-01-27 06:10:00+00:00,2026-01-27 06:20:00+00:00,48070.0,47970.0,-100.0,SL,2026-01-27,2026-01,Tuesday,15
long,2026-01-28 02:05:00+00:00,2026-01-28 02:20:00+00:00,47600.0,47570.0,-30.0,TIME,2026-01-28,2026-01,Wednesday,11
long,2026-01-28 02:10:00+00:00,2026-01-28 02:10:00+00:00,47780.0,47680.0,-100.0,SL,2026-01-28,2026-01,Wednesday,11
long,2026-01-28 05:45:00+00:00,2026-01-28 05:55:00+00:00,47760.0,47660.0,-100.0,SL,2026-01-28,2026-01,Wednesday,14
long,2026-01-28 05:50:00+00:00,2026-01-28 05:55:00+00:00,47790.0,47690.0,-100.0,SL,2026-01-28,2026-01,Wednesday,14
long,2026-01-30 00:40:00+00:00,2026-01-30 00:55:00+00:00,48310.0,48390.0,80.0,TIME,2026-01-30,2026-01,Friday,9
long,2026-02-03 00:40:00+00:00,2026-02-03 00:40:00+00:00,49380.0,49280.0,-100.0,SL,2026-02-03,2026-02,Tuesday,9
long,2026-02-03 01:15:00+00:00,2026-02-03 01:25:00+00:00,49530.0,49780.0,250.0,TP,2026-02-03,2026-02,Tuesday,10
long,2026-02-03 01:20:00+00:00,2026-02-03 01:35:00+00:00,49620.0,49870.0,250.0,TP,2026-02-03,2026-02,Tuesday,10
long,2026-02-03 01:30:00+00:00,2026-02-03 01:45:00+00:00,49770.0,49840.0,70.0,TIME,2026-02-03,2026-02,Tuesday,10
long,2026-02-03 01:40:00+00:00,2026-02-03 01:50:00+00:00,49870.0,49770.0,-100.0,SL,2026-02-03,2026-02,Tuesday,10
long,2026-02-03 02:25:00+00:00,2026-02-03 02:25:00+00:00,49790.0,49690.0,-100.0,SL,2026-02-03,2026-02,Tuesday,11
long,2026-02-03 04:05:00+00:00,2026-02-03 04:05:00+00:00,50320.0,50220.0,-100.0,SL,2026-02-03,2026-02,Tuesday,13
long,2026-02-03 04:25:00+00:00,2026-02-03 04:40:00+00:00,50320.0,50570.0,250.0,TP,2026-02-03,2026-02,Tuesday,13
long,2026-02-04 02:05:00+00:00,2026-02-04 02:20:00+00:00,49980.0,50010.0,30.0,TIME,2026-02-04,2026-02,Wednesday,11
long,2026-02-04 02:10:00+00:00,2026-02-04 02:25:00+00:00,50060.0,49960.0,-100.0,SL,2026-02-04,2026-02,Wednesday,11
long,2026-02-06 01:50:00+00:00,2026-02-06 01:55:00+00:00,48490.0,48740.0,250.0,TP,2026-02-06,2026-02,Friday,10
long,2026-02-06 01:55:00+00:00,2026-02-06 02:00:00+00:00,48650.0,48900.0,250.0,TP,2026-02-06,2026-02,Friday,10
long,2026-02-06 02:00:00+00:00,2026-02-06 02:00:00+00:00,48750.0,49000.0,250.0,TP,2026-02-06,2026-02,Friday,11
long,2026-02-06 02:05:00+00:00,2026-02-06 02:05:00+00:00,48990.0,48890.0,-100.0,SL,2026-02-06,2026-02,Friday,11
long,2026-02-06 02:10:00+00:00,2026-02-06 02:25:00+00:00,49020.0,49270.0,250.0,TP,2026-02-06,2026-02,Friday,11
long,2026-02-06 02:15:00+00:00,2026-02-06 02:15:00+00:00,49190.0,49090.0,-100.0,SL,2026-02-06,2026-02,Friday,11
long,2026-02-06 03:55:00+00:00,2026-02-06 04:10:00+00:00,49390.0,49440.0,50.0,TIME,2026-02-06,2026-02,Friday,12
long,2026-02-06 04:00:00+00:00,2026-02-06 04:05:00+00:00,49470.0,49370.0,-100.0,SL,2026-02-06,2026-02,Friday,13
long,2026-02-06 05:25:00+00:00,2026-02-06 05:40:00+00:00,49280.0,49420.0,140.0,TIME,2026-02-06,2026-02,Friday,14
long,2026-02-06 05:35:00+00:00,2026-02-06 05:50:00+00:00,49430.0,49540.0,110.0,TIME,2026-02-06,2026-02,Friday,14
long,2026-02-09 00:20:00+00:00,2026-02-09 00:20:00+00:00,54850.0,55100.0,250.0,TP,2026-02-09,2026-02,Monday,9
long,2026-02-09 00:25:00+00:00,2026-02-09 00:25:00+00:00,55000.0,54900.0,-100.0,SL,2026-02-09,2026-02,Monday,9
long,2026-02-09 01:55:00+00:00,2026-02-09 01:55:00+00:00,54260.0,54160.0,-100.0,SL,2026-02-09,2026-02,Monday,10
long,2026-02-10 00:40:00+00:00,2026-02-10 00:50:00+00:00,55330.0,55580.0,250.0,TP,2026-02-10,2026-02,Tuesday,9
long,2026-02-10 00:50:00+00:00,2026-02-10 00:55:00+00:00,55460.0,55710.0,250.0,TP,2026-02-10,2026-02,Tuesday,9
long,2026-02-10 00:55:00+00:00,2026-02-10 01:05:00+00:00,55610.0,55860.0,250.0,TP,2026-02-10,2026-02,Tuesday,9
long,2026-02-10 01:00:00+00:00,2026-02-10 01:10:00+00:00,55720.0,55970.0,250.0,TP,2026-02-10,2026-02,Tuesday,10
long,2026-02-10 01:15:00+00:00,2026-02-10 01:20:00+00:00,55990.0,56240.0,250.0,TP,2026-02-10,2026-02,Tuesday,10
long,2026-02-10 01:20:00+00:00,2026-02-10 01:25:00+00:00,56200.0,56450.0,250.0,TP,2026-02-10,2026-02,Tuesday,10
long,2026-02-10 01:25:00+00:00,2026-02-10 01:30:00+00:00,56400.0,56300.0,-100.0,SL,2026-02-10,2026-02,Tuesday,10
long,2026-02-10 01:30:00+00:00,2026-02-10 01:30:00+00:00,56420.0,56320.0,-100.0,SL,2026-02-10,2026-02,Tuesday,10
long,2026-02-10 02:20:00+00:00,2026-02-10 02:25:00+00:00,56260.0,56510.0,250.0,TP,2026-02-10,2026-02,Tuesday,11
long,2026-02-10 02:30:00+00:00,2026-02-10 03:30:00+00:00,56500.0,56400.0,-100.0,SL,2026-02-10,2026-02,Tuesday,11
long,2026-02-13 02:10:00+00:00,2026-02-13 02:15:00+00:00,55130.0,55030.0,-100.0,SL,2026-02-13,2026-02,Friday,11
long,2026-02-16 03:40:00+00:00,2026-02-16 03:55:00+00:00,54560.0,54690.0,130.0,TIME,2026-02-16,2026-02,Monday,12
long,2026-02-16 04:05:00+00:00,2026-02-16 04:05:00+00:00,54750.0,54650.0,-100.0,SL,2026-02-16,2026-02,Monday,13
long,2026-02-16 04:30:00+00:00,2026-02-16 04:45:00+00:00,54800.0,54780.0,-20.0,TIME,2026-02-16,2026-02,Monday,13
long,2026-02-18 00:15:00+00:00,2026-02-18 00:30:00+00:00,54820.0,54840.0,20.0,TIME,2026-02-18,2026-02,Wednesday,9
long,2026-02-18 00:20:00+00:00,2026-02-18 00:30:00+00:00,54910.0,54810.0,-100.0,SL,2026-02-18,2026-02,Wednesday,9
long,2026-02-18 01:25:00+00:00,2026-02-18 01:40:00+00:00,54810.0,54930.0,120.0,TIME,2026-02-18,2026-02,Wednesday,10
long,2026-02-18 01:30:00+00:00,2026-02-18 01:45:00+00:00,54920.0,54940.0,20.0,TIME,2026-02-18,2026-02,Wednesday,10
long,2026-02-18 03:35:00+00:00,2026-02-18 03:40:00+00:00,55160.0,55060.0,-100.0,SL,2026-02-18,2026-02,Wednesday,12
long,2026-02-18 04:10:00+00:00,2026-02-18 04:10:00+00:00,55270.0,55170.0,-100.0,SL,2026-02-18,2026-02,Wednesday,13
long,2026-02-18 04:35:00+00:00,2026-02-18 04:50:00+00:00,55320.0,55340.0,20.0,TIME,2026-02-18,2026-02,Wednesday,13
long,2026-02-18 04:40:00+00:00,2026-02-18 04:55:00+00:00,55360.0,55340.0,-20.0,TIME,2026-02-18,2026-02,Wednesday,13
long,2026-02-18 04:45:00+00:00,2026-02-18 04:55:00+00:00,55410.0,55310.0,-100.0,SL,2026-02-18,2026-02,Wednesday,13
long,2026-02-24 00:40:00+00:00,2026-02-24 00:45:00+00:00,54840.0,55090.0,250.0,TP,2026-02-24,2026-02,Tuesday,9
long,2026-02-24 00:45:00+00:00,2026-02-24 00:45:00+00:00,54900.0,55150.0,250.0,TP,2026-02-24,2026-02,Tuesday,9
long,2026-02-24 00:50:00+00:00,2026-02-24 00:50:00+00:00,55150.0,55050.0,-100.0,SL,2026-02-24,2026-02,Tuesday,9
long,2026-02-24 02:25:00+00:00,2026-02-24 03:30:00+00:00,54960.0,55210.0,250.0,TP,2026-02-24,2026-02,Tuesday,11
long,2026-02-24 03:40:00+00:00,2026-02-24 03:55:00+00:00,55290.0,55320.0,30.0,TIME,2026-02-24,2026-02,Tuesday,12
long,2026-02-24 04:45:00+00:00,2026-02-24 04:50:00+00:00,55380.0,55280.0,-100.0,SL,2026-02-24,2026-02,Tuesday,13
long,2026-02-25 00:25:00+00:00,2026-02-25 00:25:00+00:00,56630.0,56530.0,-100.0,SL,2026-02-25,2026-02,Wednesday,9
long,2026-02-25 01:05:00+00:00,2026-02-25 01:20:00+00:00,56440.0,56530.0,90.0,TIME,2026-02-25,2026-02,Wednesday,10
long,2026-02-25 01:40:00+00:00,2026-02-25 01:55:00+00:00,56850.0,56780.0,-70.0,TIME,2026-02-25,2026-02,Wednesday,10
long,2026-02-25 01:45:00+00:00,2026-02-25 01:55:00+00:00,56910.0,56810.0,-100.0,SL,2026-02-25,2026-02,Wednesday,10
long,2026-02-25 03:50:00+00:00,2026-02-25 03:55:00+00:00,57430.0,57680.0,250.0,TP,2026-02-25,2026-02,Wednesday,12
long,2026-02-25 03:55:00+00:00,2026-02-25 04:10:00+00:00,57600.0,57730.0,130.0,TIME,2026-02-25,2026-02,Wednesday,12
long,2026-02-25 04:25:00+00:00,2026-02-25 04:35:00+00:00,57930.0,58180.0,250.0,TP,2026-02-25,2026-02,Wednesday,13
long,2026-02-25 04:30:00+00:00,2026-02-25 04:45:00+00:00,58050.0,58200.0,150.0,TIME,2026-02-25,2026-02,Wednesday,13
long,2026-02-25 04:35:00+00:00,2026-02-25 04:50:00+00:00,58130.0,58170.0,40.0,TIME,2026-02-25,2026-02,Wednesday,13
long,2026-02-27 01:55:00+00:00,2026-02-27 02:10:00+00:00,57290.0,57470.0,180.0,TIME,2026-02-27,2026-02,Friday,10
long,2026-02-27 02:10:00+00:00,2026-02-27 02:15:00+00:00,57390.0,57640.0,250.0,TP,2026-02-27,2026-02,Friday,11
long,2026-02-27 02:15:00+00:00,2026-02-27 02:30:00+00:00,57460.0,57660.0,200.0,TIME,2026-02-27,2026-02,Friday,11
long,2026-02-27 03:40:00+00:00,2026-02-27 03:45:00+00:00,57890.0,58140.0,250.0,TP,2026-02-27,2026-02,Friday,12
long,2026-02-27 03:45:00+00:00,2026-02-27 04:00:00+00:00,58060.0,58310.0,250.0,TP,2026-02-27,2026-02,Friday,12
long,2026-02-27 03:50:00+00:00,2026-02-27 04:05:00+00:00,58160.0,58350.0,190.0,TIME,2026-02-27,2026-02,Friday,12
long,2026-02-27 03:55:00+00:00,2026-02-27 04:10:00+00:00,58220.0,58290.0,70.0,TIME,2026-02-27,2026-02,Friday,12
long,2026-02-27 04:10:00+00:00,2026-02-27 04:10:00+00:00,58340.0,58240.0,-100.0,SL,2026-02-27,2026-02,Friday,13
long,2026-03-06 02:15:00+00:00,2026-03-06 02:20:00+00:00,51270.0,51520.0,250.0,TP,2026-03-06,2026-03,Friday,11
long,2026-03-06 02:25:00+00:00,2026-03-06 02:25:00+00:00,51540.0,51440.0,-100.0,SL,2026-03-06,2026-03,Friday,11
long,2026-03-06 02:30:00+00:00,2026-03-06 03:30:00+00:00,51590.0,51490.0,-100.0,SL,2026-03-06,2026-03,Friday,11
long,2026-03-06 03:50:00+00:00,2026-03-06 03:55:00+00:00,51420.0,51670.0,250.0,TP,2026-03-06,2026-03,Friday,12
long,2026-03-06 04:00:00+00:00,2026-03-06 04:00:00+00:00,51670.0,51570.0,-100.0,SL,2026-03-06,2026-03,Friday,13
long,2026-03-06 05:40:00+00:00,2026-03-06 05:40:00+00:00,51890.0,51790.0,-100.0,SL,2026-03-06,2026-03,Friday,14
long,2026-03-06 06:10:00+00:00,2026-03-09 00:20:00+00:00,51800.0,51700.0,-100.0,SL,2026-03-06,2026-03,Friday,15
long,2026-03-10 00:10:00+00:00,2026-03-10 00:10:00+00:00,49350.0,49250.0,-100.0,SL,2026-03-10,2026-03,Tuesday,9
long,2026-03-10 01:15:00+00:00,2026-03-10 01:15:00+00:00,49730.0,49630.0,-100.0,SL,2026-03-10,2026-03,Tuesday,10
long,2026-03-10 01:55:00+00:00,2026-03-10 02:00:00+00:00,49790.0,49690.0,-100.0,SL,2026-03-10,2026-03,Tuesday,10
long,2026-03-11 00:15:00+00:00,2026-03-11 00:20:00+00:00,51140.0,51040.0,-100.0,SL,2026-03-11,2026-03,Wednesday,9
long,2026-03-11 01:15:00+00:00,2026-03-11 01:20:00+00:00,51190.0,51090.0,-100.0,SL,2026-03-11,2026-03,Wednesday,10
long,2026-03-11 01:20:00+00:00,2026-03-11 01:20:00+00:00,51210.0,51110.0,-100.0,SL,2026-03-11,2026-03,Wednesday,10
long,2026-03-11 03:40:00+00:00,2026-03-11 03:55:00+00:00,51590.0,51710.0,120.0,TIME,2026-03-11,2026-03,Wednesday,12
long,2026-03-11 03:45:00+00:00,2026-03-11 04:00:00+00:00,51660.0,51700.0,40.0,TIME,2026-03-11,2026-03,Wednesday,12
long,2026-03-11 03:50:00+00:00,2026-03-11 03:50:00+00:00,51720.0,51620.0,-100.0,SL,2026-03-11,2026-03,Wednesday,12
long,2026-03-11 04:35:00+00:00,2026-03-11 04:45:00+00:00,51630.0,51530.0,-100.0,SL,2026-03-11,2026-03,Wednesday,13
long,2026-03-17 01:25:00+00:00,2026-03-17 01:35:00+00:00,48580.0,48480.0,-100.0,SL,2026-03-17,2026-03,Tuesday,10
long,2026-03-17 01:30:00+00:00,2026-03-17 01:35:00+00:00,48600.0,48500.0,-100.0,SL,2026-03-17,2026-03,Tuesday,10
long,2026-03-17 01:35:00+00:00,2026-03-17 01:35:00+00:00,48640.0,48540.0,-100.0,SL,2026-03-17,2026-03,Tuesday,10
long,2026-03-18 00:10:00+00:00,2026-03-18 00:15:00+00:00,49320.0,49570.0,250.0,TP,2026-03-18,2026-03,Wednesday,9
long,2026-03-18 00:15:00+00:00,2026-03-18 00:15:00+00:00,49560.0,49460.0,-100.0,SL,2026-03-18,2026-03,Wednesday,9
long,2026-03-18 00:55:00+00:00,2026-03-18 01:00:00+00:00,49460.0,49710.0,250.0,TP,2026-03-18,2026-03,Wednesday,9
long,2026-03-18 01:00:00+00:00,2026-03-18 01:05:00+00:00,49580.0,49830.0,250.0,TP,2026-03-18,2026-03,Wednesday,10
long,2026-03-18 01:05:00+00:00,2026-03-18 01:10:00+00:00,49760.0,50010.0,250.0,TP,2026-03-18,2026-03,Wednesday,10
long,2026-03-18 01:10:00+00:00,2026-03-18 01:25:00+00:00,49880.0,49880.0,0.0,TIME,2026-03-18,2026-03,Wednesday,10
long,2026-03-18 01:15:00+00:00,2026-03-18 01:15:00+00:00,50000.0,49900.0,-100.0,SL,2026-03-18,2026-03,Wednesday,10
long,2026-03-18 02:05:00+00:00,2026-03-18 02:15:00+00:00,49810.0,50060.0,250.0,TP,2026-03-18,2026-03,Wednesday,11
long,2026-03-18 02:10:00+00:00,2026-03-18 02:20:00+00:00,49920.0,50170.0,250.0,TP,2026-03-18,2026-03,Wednesday,11
long,2026-03-18 02:15:00+00:00,2026-03-18 02:30:00+00:00,49950.0,50100.0,150.0,TIME,2026-03-18,2026-03,Wednesday,11
long,2026-03-18 02:20:00+00:00,2026-03-18 03:30:00+00:00,50090.0,50170.0,80.0,TIME,2026-03-18,2026-03,Wednesday,11
long,2026-03-18 03:40:00+00:00,2026-03-18 03:55:00+00:00,50280.0,50390.0,110.0,TIME,2026-03-18,2026-03,Wednesday,12
long,2026-03-18 03:50:00+00:00,2026-03-18 04:05:00+00:00,50380.0,50580.0,200.0,TIME,2026-03-18,2026-03,Wednesday,12
long,2026-03-18 04:10:00+00:00,2026-03-18 04:25:00+00:00,50590.0,50490.0,-100.0,SL,2026-03-18,2026-03,Wednesday,13
long,2026-03-18 04:55:00+00:00,2026-03-18 04:55:00+00:00,50620.0,50520.0,-100.0,SL,2026-03-18,2026-03,Wednesday,13
long,2026-03-23 02:10:00+00:00,2026-03-23 02:10:00+00:00,44220.0,44120.0,-100.0,SL,2026-03-23,2026-03,Monday,11
long,2026-03-24 01:30:00+00:00,2026-03-24 01:30:00+00:00,45040.0,44940.0,-100.0,SL,2026-03-24,2026-03,Tuesday,10
long,2026-03-24 05:20:00+00:00,2026-03-24 05:20:00+00:00,44670.0,44570.0,-100.0,SL,2026-03-24,2026-03,Tuesday,14
long,2026-03-25 00:10:00+00:00,2026-03-25 00:10:00+00:00,47490.0,47740.0,250.0,TP,2026-03-25,2026-03,Wednesday,9
long,2026-03-25 00:15:00+00:00,2026-03-25 00:15:00+00:00,47900.0,47800.0,-100.0,SL,2026-03-25,2026-03,Wednesday,9
long,2026-03-25 00:35:00+00:00,2026-03-25 00:35:00+00:00,48190.0,48090.0,-100.0,SL,2026-03-25,2026-03,Wednesday,9
long,2026-03-25 00:40:00+00:00,2026-03-25 00:40:00+00:00,48290.0,48190.0,-100.0,SL,2026-03-25,2026-03,Wednesday,9
long,2026-03-25 04:30:00+00:00,2026-03-25 04:45:00+00:00,48030.0,47930.0,-100.0,SL,2026-03-25,2026-03,Wednesday,13
long,2026-03-25 04:35:00+00:00,2026-03-25 04:40:00+00:00,48080.0,47980.0,-100.0,SL,2026-03-25,2026-03,Wednesday,13
long,2026-03-25 04:40:00+00:00,2026-03-25 04:40:00+00:00,48100.0,48000.0,-100.0,SL,2026-03-25,2026-03,Wednesday,13
long,2026-03-27 02:20:00+00:00,2026-03-27 02:20:00+00:00,46860.0,46760.0,-100.0,SL,2026-03-27,2026-03,Friday,11
long,2026-03-27 03:40:00+00:00,2026-03-27 03:45:00+00:00,47210.0,47110.0,-100.0,SL,2026-03-27,2026-03,Friday,12
long,2026-03-27 03:45:00+00:00,2026-03-27 03:45:00+00:00,47240.0,47140.0,-100.0,SL,2026-03-27,2026-03,Friday,12
long,2026-03-30 03:40:00+00:00,2026-03-30 03:45:00+00:00,44500.0,44400.0,-100.0,SL,2026-03-30,2026-03,Monday,12
long,2026-03-30 03:45:00+00:00,2026-03-30 03:45:00+00:00,44570.0,44470.0,-100.0,SL,2026-03-30,2026-03,Monday,12
long,2026-03-30 05:10:00+00:00,2026-03-30 05:10:00+00:00,44810.0,44710.0,-100.0,SL,2026-03-30,2026-03,Monday,14
