entry_time,exit_time,entry_price,exit_price,pnl,result,bb_squeeze,atr_ratio,month,weekday_num,weekday,hour
2026-01-22 10:30:00,2026-01-22 10:40:00,48620.0,48870.0,250.0,TP,1.082,0.819,2026-01,3,木,10
2026-01-22 10:35:00,2026-01-22 11:00:00,48720.0,48810.0,90.0,TIME,0.939,0.808,2026-01,3,木,10
2026-01-23 12:50:00,2026-01-23 13:00:00,49310.0,49210.0,-100.0,SL,1.07,0.85,2026-01,4,金,12
2026-01-23 12:55:00,2026-01-23 13:00:00,49400.0,49300.0,-100.0,SL,1.316,0.907,2026-01,4,金,12
2026-01-23 13:00:00,2026-01-23 13:05:00,49280.0,49180.0,-100.0,SL,1.352,0.972,2026-01,4,金,13
2026-01-27 09:30:00,2026-01-27 09:45:00,47210.0,47460.0,250.0,TP,1.004,1.326,2026-01,1,火,9
2026-01-27 09:35:00,2026-01-27 10:00:00,47260.0,47360.0,100.0,TIME,0.978,1.349,2026-01,1,火,9
2026-01-27 09:45:00,2026-01-27 09:50:00,47430.0,47330.0,-100.0,SL,0.964,1.384,2026-01,1,火,9
2026-01-27 10:05:00,2026-01-27 10:10:00,47400.0,47300.0,-100.0,SL,0.923,1.316,2026-01,1,火,10
2026-01-27 10:40:00,2026-01-27 10:45:00,47410.0,47310.0,-100.0,SL,0.942,1.004,2026-01,1,火,10
2026-01-27 12:40:00,2026-01-27 13:05:00,47750.0,47810.0,60.0,TIME,1.23,0.726,2026-01,1,火,12
2026-01-27 12:45:00,2026-01-27 13:10:00,47740.0,47860.0,120.0,TIME,1.376,0.724,2026-01,1,火,12
2026-01-29 10:05:00,2026-01-29 10:15:00,48330.0,48230.0,-100.0,SL,1.164,1.331,2026-01,3,木,10
2026-01-30 09:40:00,2026-01-30 10:05:00,48310.0,48520.0,210.0,TIME,1.606,1.519,2026-01,4,金,9
2026-01-30 09:45:00,2026-01-30 10:10:00,48330.0,48400.0,70.0,TIME,1.537,1.531,2026-01,4,金,9
2026-02-03 09:20:00,2026-02-03 09:35:00,49110.0,49360.0,250.0,TP,2.353,1.866,2026-02,1,火,9
2026-02-03 09:35:00,2026-02-03 10:00:00,49210.0,49310.0,100.0,TIME,2.638,1.752,2026-02,1,火,9
2026-02-03 09:40:00,2026-02-03 09:45:00,49380.0,49280.0,-100.0,SL,2.624,1.749,2026-02,1,火,9
2026-02-03 10:15:00,2026-02-03 10:25:00,49530.0,49780.0,250.0,TP,1.646,1.464,2026-02,1,火,10
2026-02-03 10:20:00,2026-02-03 10:35:00,49620.0,49870.0,250.0,TP,1.523,1.095,2026-02,1,火,10
2026-02-03 10:25:00,2026-02-03 10:35:00,49630.0,49880.0,250.0,TP,1.383,0.989,2026-02,1,火,10
2026-02-03 10:30:00,2026-02-03 10:55:00,49770.0,49810.0,40.0,TIME,1.244,0.861,2026-02,1,火,10
2026-02-03 10:35:00,2026-02-03 11:00:00,49770.0,49870.0,100.0,TIME,1.103,0.838,2026-02,1,火,10
2026-02-03 10:40:00,2026-02-03 10:50:00,49870.0,49770.0,-100.0,SL,0.913,0.82,2026-02,1,火,10
2026-02-05 09:20:00,2026-02-05 09:40:00,49750.0,50000.0,250.0,TP,1.314,1.558,2026-02,3,木,9
2026-02-05 09:25:00,2026-02-05 09:40:00,49790.0,50040.0,250.0,TP,1.253,1.601,2026-02,3,木,9
2026-02-05 09:40:00,2026-02-05 09:50:00,49960.0,49860.0,-100.0,SL,1.151,1.504,2026-02,3,木,9
2026-02-05 09:45:00,2026-02-05 09:50:00,49990.0,49890.0,-100.0,SL,1.173,1.506,2026-02,3,木,9
2026-02-06 11:20:00,2026-02-06 12:30:00,49160.0,49410.0,250.0,TP,0.981,0.717,2026-02,4,金,11
2026-02-06 12:55:00,2026-02-06 13:20:00,49390.0,49430.0,40.0,TIME,1.252,1.071,2026-02,4,金,12
2026-02-06 13:00:00,2026-02-06 13:05:00,49470.0,49370.0,-100.0,SL,1.188,1.076,2026-02,4,金,13
2026-02-09 09:20:00,2026-02-09 09:25:00,54850.0,54750.0,-100.0,SL,6.333,3.252,2026-02,0,月,9
2026-02-09 09:25:00,2026-02-09 09:30:00,55000.0,54900.0,-100.0,SL,6.247,3.057,2026-02,0,月,9
2026-02-09 10:00:00,2026-02-09 10:05:00,54940.0,54840.0,-100.0,SL,2.502,1.933,2026-02,0,月,10
2026-02-09 10:15:00,2026-02-09 10:20:00,54720.0,54620.0,-100.0,SL,1.812,1.691,2026-02,0,月,10
2026-02-10 09:40:00,2026-02-10 09:50:00,55330.0,55580.0,250.0,TP,2.289,1.525,2026-02,1,火,9
2026-02-10 09:45:00,2026-02-10 09:50:00,55360.0,55610.0,250.0,TP,2.175,1.46,2026-02,1,火,9
2026-02-10 09:50:00,2026-02-10 09:55:00,55460.0,55710.0,250.0,TP,2.077,1.286,2026-02,1,火,9
2026-02-10 09:55:00,2026-02-10 10:05:00,55610.0,55860.0,250.0,TP,1.999,1.206,2026-02,1,火,9
2026-02-10 10:00:00,2026-02-10 10:10:00,55720.0,55970.0,250.0,TP,1.913,1.163,2026-02,1,火,10
2026-02-10 10:15:00,2026-02-10 10:20:00,55990.0,56240.0,250.0,TP,1.677,1.069,2026-02,1,火,10
2026-02-12 09:20:00,2026-02-12 09:25:00,56390.0,56290.0,-100.0,SL,1.769,1.267,2026-02,3,木,9
2026-02-12 09:35:00,2026-02-12 10:00:00,56510.0,56500.0,-10.0,TIME,1.761,1.388,2026-02,3,木,9
2026-02-12 09:40:00,2026-02-12 09:45:00,56630.0,56530.0,-100.0,SL,1.817,1.364,2026-02,3,木,9
2026-02-12 09:45:00,2026-02-12 09:50:00,56620.0,56520.0,-100.0,SL,1.798,1.33,2026-02,3,木,9
2026-02-18 09:20:00,2026-02-18 09:30:00,54910.0,54810.0,-100.0,SL,3.333,1.437,2026-02,2,水,9
2026-02-18 09:25:00,2026-02-18 09:45:00,54860.0,54760.0,-100.0,SL,3.257,1.374,2026-02,2,水,9
2026-02-18 09:30:00,2026-02-18 09:35:00,54880.0,54780.0,-100.0,SL,3.108,1.335,2026-02,2,水,9
2026-02-18 10:25:00,2026-02-18 10:50:00,54810.0,54940.0,130.0,TIME,0.907,0.797,2026-02,2,水,10
2026-02-19 09:40:00,2026-02-19 10:05:00,55690.0,55830.0,140.0,TIME,1.855,1.625,2026-02,3,木,9
2026-02-19 09:45:00,2026-02-19 10:05:00,55670.0,55920.0,250.0,TP,1.857,1.566,2026-02,3,木,9
2026-02-19 09:50:00,2026-02-19 10:15:00,55760.0,55850.0,90.0,TIME,1.854,1.552,2026-02,3,木,9
