entry_time,exit_time,entry,exit,pnl,result,month
2026-02-24 02:25:00+00:00,2026-02-24 02:25:00+00:00,24863.5,24862.5,-100.0,LUNCH,2026-02
2026-02-25 00:45:00+00:00,2026-02-25 00:45:00+00:00,25061.25,25069.25,800.0,TP,2026-02
2026-02-25 00:50:00+00:00,2026-02-25 00:50:00+00:00,25066.25,25074.25,800.0,TP,2026-02
2026-02-25 00:55:00+00:00,2026-02-25 00:55:00+00:00,25069.25,25068.25,-100.0,SL,2026-02
2026-02-25 01:20:00+00:00,2026-02-25 01:20:00+00:00,25098.0,25097.0,-100.0,SL,2026-02
2026-02-25 01:40:00+00:00,2026-02-25 01:40:00+00:00,25094.0,25102.0,800.0,TP,2026-02
2026-02-25 01:50:00+00:00,2026-02-25 01:50:00+00:00,25106.75,25105.75,-100.0,SL,2026-02
2026-03-04 00:20:00+00:00,2026-03-04 00:20:00+00:00,24791.0,24799.0,800.0,TP,2026-03
2026-03-04 00:55:00+00:00,2026-03-04 00:55:00+00:00,24755.5,24763.5,800.0,TP,2026-03
2026-03-04 01:45:00+00:00,2026-03-04 01:45:00+00:00,24710.25,24709.25,-100.0,SL,2026-03
2026-03-05 00:15:00+00:00,2026-03-05 00:15:00+00:00,25200.0,25208.0,800.0,TP,2026-03
2026-03-05 00:20:00+00:00,2026-03-05 00:20:00+00:00,25228.5,25227.5,-100.0,SL,2026-03
2026-03-06 00:45:00+00:00,2026-03-06 00:45:00+00:00,25084.75,25092.75,800.0,TP,2026-03
2026-03-06 00:50:00+00:00,2026-03-06 00:50:00+00:00,25087.0,25086.0,-100.0,SL,2026-03
2026-03-06 02:15:00+00:00,2026-03-06 02:15:00+00:00,25102.5,25110.5,800.0,TP,2026-03
2026-03-06 02:20:00+00:00,2026-03-06 02:20:00+00:00,25103.25,25111.25,800.0,TP,2026-03
2026-03-10 00:45:00+00:00,2026-03-10 00:45:00+00:00,24960.25,24968.25,800.0,TP,2026-03
2026-03-11 01:20:00+00:00,2026-03-11 01:20:00+00:00,25081.0,25080.0,-100.0,SL,2026-03
2026-03-11 03:40:00+00:00,2026-03-11 03:40:00+00:00,25114.75,25113.75,-100.0,SL,2026-03
2026-03-12 01:45:00+00:00,2026-03-12 01:45:00+00:00,24836.0,24835.0,-100.0,SL,2026-03
2026-03-13 00:20:00+00:00,2026-03-13 00:20:00+00:00,24605.0,24613.0,800.0,TP,2026-03
2026-03-13 01:05:00+00:00,2026-03-13 01:05:00+00:00,24633.75,24641.75,800.0,TP,2026-03
2026-03-13 01:10:00+00:00,2026-03-13 01:10:00+00:00,24658.0,24657.0,-100.0,SL,2026-03
2026-03-16 03:30:00+00:00,2026-03-16 03:30:00+00:00,24510.0,24518.0,800.0,TP,2026-03
2026-03-18 00:15:00+00:00,2026-03-18 00:15:00+00:00,25051.75,25050.75,-100.0,SL,2026-03
2026-03-18 00:45:00+00:00,2026-03-18 00:45:00+00:00,25053.5,25061.5,800.0,TP,2026-03
2026-03-18 00:50:00+00:00,2026-03-18 00:50:00+00:00,25072.0,25080.0,800.0,TP,2026-03
2026-03-18 01:05:00+00:00,2026-03-18 01:05:00+00:00,25092.25,25091.25,-100.0,SL,2026-03
2026-03-19 01:30:00+00:00,2026-03-19 01:30:00+00:00,24639.75,24638.75,-100.0,SL,2026-03
2026-03-19 01:35:00+00:00,2026-03-19 01:35:00+00:00,24641.75,24649.75,800.0,TP,2026-03
2026-03-19 02:15:00+00:00,2026-03-19 02:15:00+00:00,24678.75,24686.75,800.0,TP,2026-03
2026-03-19 02:20:00+00:00,2026-03-19 02:20:00+00:00,24692.5,24700.5,800.0,TP,2026-03
2026-03-19 02:25:00+00:00,2026-03-19 02:25:00+00:00,24703.5,24694.75,-875.0,LUNCH,2026-03
2026-03-20 01:40:00+00:00,2026-03-20 01:40:00+00:00,24652.0,24651.0,-100.0,SL,2026-03
2026-03-23 01:35:00+00:00,2026-03-23 01:35:00+00:00,24036.0,24044.0,800.0,TP,2026-03
2026-03-25 00:35:00+00:00,2026-03-25 00:35:00+00:00,24467.5,24475.5,800.0,TP,2026-03
2026-03-26 00:20:00+00:00,2026-03-26 00:20:00+00:00,24372.5,24380.5,800.0,TP,2026-03
2026-03-26 00:25:00+00:00,2026-03-26 00:25:00+00:00,24403.75,24402.75,-100.0,SL,2026-03
2026-03-26 03:35:00+00:00,2026-03-26 03:35:00+00:00,24392.0,24400.0,800.0,TP,2026-03
2026-03-27 03:40:00+00:00,2026-03-27 03:40:00+00:00,23888.5,23887.5,-100.0,SL,2026-03
2026-03-30 01:45:00+00:00,2026-03-30 01:45:00+00:00,23204.75,23203.75,-100.0,SL,2026-03
2026-03-31 00:45:00+00:00,2026-03-31 00:45:00+00:00,23158.0,23166.0,800.0,TP,2026-03
2026-03-31 00:50:00+00:00,2026-03-31 00:50:00+00:00,23245.5,23253.5,800.0,TP,2026-03
2026-03-31 01:25:00+00:00,2026-03-31 01:25:00+00:00,23274.75,23282.75,800.0,TP,2026-03
2026-03-31 01:30:00+00:00,2026-03-31 01:30:00+00:00,23314.75,23322.75,800.0,TP,2026-03
2026-03-31 01:35:00+00:00,2026-03-31 01:35:00+00:00,23367.5,23375.5,800.0,TP,2026-03
2026-03-31 01:40:00+00:00,2026-03-31 01:40:00+00:00,23387.75,23395.75,800.0,TP,2026-03
