pattern,signal_dt,entry_dt,exit_dt,entry_price,pnl_pt,pnl_yen,result,signal_hour,signal_weekday,signal_month,signal_year
B,2024-06-06 21:55:00,2024-06-06 22:00:00,2024-06-06 23:00:00,38660.0,-62.2,-622.0,SL,22,3,6,2024
B,2024-06-06 22:00:00,2024-06-06 22:05:00,2024-06-06 23:00:00,38685.0,-62.2,-622.0,SL,22,3,6,2024
B,2024-06-06 22:05:00,2024-06-06 22:10:00,2024-06-06 23:00:00,38680.0,-62.2,-622.0,SL,22,3,6,2024
B,2024-06-06 22:10:00,2024-06-06 22:15:00,2024-06-06 23:00:00,38660.0,-62.2,-622.0,SL,22,3,6,2024
B,2024-06-06 22:15:00,2024-06-06 22:20:00,2024-06-06 23:00:00,38665.0,-62.2,-622.0,SL,22,3,6,2024
B,2024-06-06 22:20:00,2024-06-06 22:25:00,2024-06-06 23:00:00,38660.0,-62.2,-622.0,SL,22,3,6,2024
B,2024-06-06 22:25:00,2024-06-06 22:30:00,2024-06-06 23:00:00,38665.0,-62.2,-622.0,SL,22,3,6,2024
B,2024-06-06 22:30:00,2024-06-06 22:35:00,2024-06-06 23:50:00,38650.0,82.8,828.0,SESSION,22,3,6,2024
B,2024-06-06 23:25:00,2024-06-06 23:30:00,2024-06-06 23:50:00,38735.0,-2.2,-22.0,SESSION,23,3,6,2024
B,2024-06-06 23:30:00,2024-06-06 23:35:00,2024-06-06 23:50:00,38750.0,-17.2,-172.0,SESSION,23,3,6,2024
B,2024-06-06 23:35:00,2024-06-06 23:40:00,2024-06-06 23:50:00,38745.0,-12.2,-122.0,SESSION,23,3,6,2024
B,2024-06-06 23:40:00,2024-06-06 23:45:00,2024-06-06 23:50:00,38735.0,-2.2,-22.0,SESSION,23,3,6,2024
B,2024-06-06 23:45:00,2024-06-06 23:50:00,2024-06-06 23:50:00,38730.0,2.8,28.0,SESSION,23,3,6,2024
B,2024-06-06 23:50:00,2024-06-06 23:55:00,2024-06-07 00:00:00,38735.0,-62.2,-622.0,SL,23,3,6,2024
